2014.06.11 10:33:09;START
2014.06.11 10:33:11;2;lines(16) 
2014.06.11 10:33:12;1;lines(16) 
2014.06.11 10:33:13;2;lines(18) 
2014.06.11 10:33:14;2;lines(17) 
2014.06.11 10:33:15;2;lines(18) 
2014.06.11 10:33:16;1;lines(18) 
2014.06.11 10:33:16;2;lines(15) 
2014.06.11 10:33:17;1;lines(17) 
2014.06.11 10:33:18;2;lines(15) 
2014.06.11 10:33:19;2;lines(15) 
2014.06.11 10:33:21;2;lines(13) 
2014.06.11 10:33:21;1;lines(18) 
2014.06.11 10:33:23;1;lines(15) 
2014.06.11 10:33:24;2;lines(15) 
2014.06.11 10:33:25;1;lines(15) 
2014.06.11 10:33:26;2;lines(13) 
2014.06.11 10:33:28;1;lines(14) 
2014.06.11 10:33:29;2;lines(15) 
2014.06.11 10:33:29;2;drop(1) 
2014.06.11 10:33:29;1;lines(15) 
2014.06.11 10:33:30;2;lines(13) 
2014.06.11 10:33:31;2;lines(14) 
2014.06.11 10:33:32;1;lines(15) 
2014.06.11 10:33:34;2;lines(12) 
2014.06.11 10:33:35;1;lines(11) 
2014.06.11 10:33:36;2;lines(15) 
2014.06.11 10:33:36;2;drop(1) 
2014.06.11 10:33:37;1;lines(14) 
2014.06.11 10:33:38;2;lines(14) 
2014.06.11 10:33:39;2;lines(13) 
2014.06.11 10:33:39;2;drop(1) 
2014.06.11 10:33:39;1;lines(12) 
2014.06.11 10:33:40;2;lines(13) 
2014.06.11 10:33:41;1;lines(12) 
2014.06.11 10:33:41;2;lines(13) 
2014.06.11 10:33:43;2;lines(14) 
2014.06.11 10:33:43;2;drop(1) 
2014.06.11 10:33:43;1;lines(13) 
2014.06.11 10:33:44;2;lines(14) 
2014.06.11 10:33:44;2;drop(1) 
2014.06.11 10:33:45;2;lines(12) 
2014.06.11 10:33:46;1;lines(11) 
2014.06.11 10:33:48;2;lines(14) 
2014.06.11 10:33:48;1;lines(12) 
2014.06.11 10:33:49;2;lines(12) 
2014.06.11 10:33:49;1;lines(10) 
2014.06.11 10:33:50;2;lines(14) 
2014.06.11 10:33:50;2;drop(1) 
2014.06.11 10:33:51;1;lines(10) 
2014.06.11 10:33:52;2;lines(11) 
2014.06.11 10:33:52;1;lines(9) 
2014.06.11 10:33:52;1;drop(1) 
2014.06.11 10:33:53;2;lines(15) 
2014.06.11 10:33:53;2;drop(2) 
2014.06.11 10:33:53;2;send(2) 
2014.06.11 10:33:54;1;lines(5) 
2014.06.11 10:33:55;2;lines(16) 
2014.06.11 10:33:55;1;lines(8) 
2014.06.11 10:33:56;2;lines(14) 
2014.06.11 10:33:57;1;lines(7) 
2014.06.11 10:33:58;2;lines(14) 
2014.06.11 10:33:59;1;lines(7) 
2014.06.11 10:33:59;1;lines(2) 
2014.06.11 10:34:01;2;lines(15) 
2014.06.11 10:34:01;1;lines(8) 
2014.06.11 10:34:01;1;lines(0) 
2014.06.11 10:34:03;1;lines(6) 
2014.06.11 10:34:03;1;lines(-2) 
2014.06.11 10:34:03;1;end
