2014.06.14 12:05:42;0;START
2014.06.14 12:05:45;3;1;lines(17)
2014.06.14 12:05:45;3;2;lines(16)
2014.06.14 12:05:47;5;1;lines(18)
2014.06.14 12:05:48;6;2;lines(14)
2014.06.14 12:05:49;7;1;lines(16)
2014.06.14 12:05:52;10;2;lines(18)
2014.06.14 12:05:52;10;1;lines(18)
2014.06.14 12:05:54;12;1;lines(17)
2014.06.14 12:05:55;13;2;lines(18)
2014.06.14 12:05:55;13;1;lines(16)
2014.06.14 12:05:58;16;1;lines(15)
2014.06.14 12:05:58;16;2;lines(18)
2014.06.14 12:05:58;16;2;drop(1)
2014.06.14 12:06:01;19;2;lines(15)
2014.06.14 12:06:02;20;1;lines(15)
2014.06.14 12:06:04;22;1;lines(16)
2014.06.14 12:06:04;22;1;drop(1)
2014.06.14 12:06:04;22;2;lines(18)
2014.06.14 12:06:07;25;2;lines(17)
2014.06.14 12:06:07;25;2;drop(1)
2014.06.14 12:06:07;25;1;lines(14)
2014.06.14 12:06:08;26;1;lines(16)
2014.06.14 12:06:08;26;1;drop(1)
2014.06.14 12:06:09;27;2;lines(18)
2014.06.14 12:06:11;29;1;lines(15)
2014.06.14 12:06:12;30;2;lines(17)
2014.06.14 12:06:14;32;1;lines(14)
2014.06.14 12:06:14;32;2;lines(16)
2014.06.14 12:06:16;34;1;lines(15)
2014.06.14 12:06:17;35;2;lines(15)
2014.06.14 12:06:19;37;2;lines(15)
2014.06.14 12:06:19;37;1;lines(13)
2014.06.14 12:06:22;40;1;lines(14)
2014.06.14 12:06:22;40;2;lines(15)
2014.06.14 12:06:23;41;1;lines(14)
2014.06.14 12:06:23;41;1;drop(1)
2014.06.14 12:06:24;42;2;lines(13)
2014.06.14 12:06:25;43;1;lines(13)
2014.06.14 12:06:25;43;1;drop(1)
2014.06.14 12:06:26;44;2;lines(14)
2014.06.14 12:06:27;45;1;lines(14)
2014.06.14 12:06:28;46;1;lines(16)
2014.06.14 12:06:28;46;1;drop(1)
2014.06.14 12:06:28;46;2;lines(13)
2014.06.14 12:06:30;48;1;lines(15)
2014.06.14 12:06:30;48;2;lines(12)
2014.06.14 12:06:31;49;1;lines(14)
2014.06.14 12:06:31;49;1;drop(1)
2014.06.14 12:06:33;51;2;lines(13)
2014.06.14 12:06:33;51;2;drop(1)
2014.06.14 12:06:33;51;1;lines(16)
2014.06.14 12:06:35;53;1;lines(14)
2014.06.14 12:06:35;53;2;lines(12)
2014.06.14 12:06:36;54;1;lines(14)
2014.06.14 12:06:37;55;1;lines(13)
2014.06.14 12:06:38;56;2;lines(12)
2014.06.14 12:06:39;57;1;lines(12)
2014.06.14 12:06:40;58;2;lines(12)
2014.06.14 12:06:40;58;2;drop(1)
2014.06.14 12:06:41;59;1;lines(15)
2014.06.14 12:06:41;59;1;drop(2)
2014.06.14 12:06:41;59;1;send(2)
2014.06.14 12:06:42;60;2;lines(11)
2014.06.14 12:06:43;61;1;lines(14)
2014.06.14 12:06:44;62;2;lines(10)
2014.06.14 12:06:44;62;2;drop(1)
2014.06.14 12:06:45;63;1;lines(15)
2014.06.14 12:06:45;63;1;drop(1)
2014.06.14 12:06:46;64;2;lines(11)
2014.06.14 12:06:46;64;1;lines(15)
2014.06.14 12:06:46;64;1;drop(1)
2014.06.14 12:06:46;64;1;level(3)
2014.06.14 12:06:48;66;1;lines(15)
2014.06.14 12:06:48;66;2;lines(9)
2014.06.14 12:06:49;67;1;lines(16)
2014.06.14 12:06:49;67;1;drop(1)
2014.06.14 12:06:50;68;2;lines(9)
2014.06.14 12:06:50;68;1;lines(15)
2014.06.14 12:06:50;68;1;drop(1)
2014.06.14 12:06:51;69;2;lines(11)
2014.06.14 12:06:51;69;2;drop(1)
2014.06.14 12:06:52;70;1;lines(16)
2014.06.14 12:06:52;70;1;drop(1)
2014.06.14 12:06:53;71;2;lines(10)
2014.06.14 12:06:54;72;2;lines(9)
2014.06.14 12:06:54;72;1;lines(17)
2014.06.14 12:06:54;72;1;drop(1)
2014.06.14 12:06:56;74;1;lines(17)
2014.06.14 12:06:56;74;2;lines(8)
2014.06.14 12:06:57;75;1;lines(17)
2014.06.14 12:06:58;76;2;lines(9)
2014.06.14 12:06:58;76;1;lines(17)
2014.06.14 12:06:59;77;2;lines(9)
2014.06.14 12:07:00;78;1;lines(16)
2014.06.14 12:07:01;79;1;lines(16)
2014.06.14 12:07:01;79;1;drop(1)
2014.06.14 12:07:01;79;2;lines(7)
2014.06.14 12:07:02;80;2;lines(8)
2014.06.14 12:07:02;80;2;drop(2)
2014.06.14 12:07:02;80;2;send(2)
2014.06.14 12:07:03;81;1;lines(13)
2014.06.14 12:07:04;82;2;lines(7)
2014.06.14 12:07:04;82;1;lines(15)
2014.06.14 12:07:04;82;1;drop(1)
2014.06.14 12:07:05;83;1;lines(15)
2014.06.14 12:07:06;84;2;lines(9)
2014.06.14 12:07:07;85;1;lines(14)
2014.06.14 12:07:08;86;2;lines(8)
2014.06.14 12:07:09;87;1;lines(13)
2014.06.14 12:07:09;87;2;lines(9)
2014.06.14 12:07:10;88;1;lines(13)
2014.06.14 12:07:11;89;2;lines(7)
2014.06.14 12:07:12;90;2;lines(10)
2014.06.14 12:07:12;90;2;drop(2)
2014.06.14 12:07:12;90;2;level(3)
2014.06.14 12:07:12;90;2;send(2)
2014.06.14 12:07:12;90;1;lines(12)
2014.06.14 12:07:13;91;2;lines(8)
2014.06.14 12:07:14;92;1;lines(11)
2014.06.14 12:07:15;93;2;lines(10)
2014.06.14 12:07:15;93;1;lines(9)
2014.06.14 12:07:16;94;2;lines(7)
2014.06.14 12:07:17;95;1;lines(11)
2014.06.14 12:07:17;95;1;drop(1)
2014.06.14 12:07:18;96;2;lines(8)
2014.06.14 12:07:18;96;1;lines(12)
2014.06.14 12:07:18;96;1;drop(3)
2014.06.14 12:07:18;96;1;level(4)
2014.06.14 12:07:18;96;1;send(3)
2014.06.14 12:07:19;97;2;lines(3)
2014.06.14 12:07:19;97;2;lines(2)
2014.06.14 12:07:19;97;2;lines(-2)
########
2014-06-14 12:05:42
2014-06-14 12:07:19
97
