2014.06.11 11:04:15;0;START
2014.06.11 11:04:17;2;1;lines(17)
2014.06.11 11:04:18;3;2;lines(17)
2014.06.11 11:04:19;4;1;lines(18)
2014.06.11 11:04:21;6;1;lines(18)
2014.06.11 11:04:21;6;2;lines(17)
2014.06.11 11:04:24;9;1;lines(16)
2014.06.11 11:04:25;10;2;lines(17)
2014.06.11 11:04:26;11;1;lines(16)
2014.06.11 11:04:28;13;2;lines(15)
2014.06.11 11:04:29;14;1;lines(17)
2014.06.11 11:04:29;14;1;drop(1)
2014.06.11 11:04:31;16;2;lines(17)
2014.06.11 11:04:31;16;1;lines(16)
2014.06.11 11:04:34;19;2;lines(14)
2014.06.11 11:04:34;19;1;lines(14)
2014.06.11 11:04:37;22;2;lines(14)
2014.06.11 11:04:38;23;1;lines(16)
2014.06.11 11:04:40;25;1;lines(16)
2014.06.11 11:04:40;25;1;drop(1)
2014.06.11 11:04:40;25;2;lines(14)
2014.06.11 11:04:42;27;1;lines(17)
2014.06.11 11:04:42;27;1;drop(1)
2014.06.11 11:04:43;28;2;lines(15)
2014.06.11 11:04:45;30;1;lines(16)
2014.06.11 11:04:46;31;2;lines(13)
2014.06.11 11:04:47;32;1;lines(16)
2014.06.11 11:04:47;32;1;drop(1)
2014.06.11 11:04:49;34;2;lines(13)
2014.06.11 11:04:50;35;1;lines(16)
2014.06.11 11:04:51;36;2;lines(11)
2014.06.11 11:04:52;37;1;lines(15)
2014.06.11 11:04:54;39;2;lines(12)
2014.06.11 11:04:54;39;1;lines(13)
2014.06.11 11:04:56;41;2;lines(11)
2014.06.11 11:04:56;41;1;lines(11)
2014.06.11 11:04:58;43;2;lines(11)
2014.06.11 11:04:59;44;1;lines(16)
2014.06.11 11:05:00;45;2;lines(9)
2014.06.11 11:05:01;46;1;lines(9)
2014.06.11 11:05:02;47;2;lines(9)
2014.06.11 11:05:03;48;1;lines(13)
2014.06.11 11:05:04;49;2;lines(9)
2014.06.11 11:05:06;51;1;lines(15)
2014.06.11 11:05:06;51;2;lines(7)
2014.06.11 11:05:07;52;2;lines(7)
2014.06.11 11:05:08;53;1;lines(13)
2014.06.11 11:05:09;54;2;lines(8)
2014.06.11 11:05:09;54;1;lines(7)
2014.06.11 11:05:11;56;2;lines(6)
2014.06.11 11:05:12;57;1;lines(13)
2014.06.11 11:05:12;57;2;lines(6)
2014.06.11 11:05:13;58;1;lines(16)
2014.06.11 11:05:14;59;2;lines(6)
2014.06.11 11:05:15;60;2;lines(3)
2014.06.11 11:05:15;60;1;lines(11)
2014.06.11 11:05:16;61;2;lines(4)
2014.06.11 11:05:17;62;2;lines(3)
2014.06.11 11:05:18;63;2;lines(0)
2014.06.11 11:05:18;63;1;lines(11)
2014.06.11 11:05:18;63;2;lines(-1)
########
2014-06-11 11:04:15
2014-06-11 11:05:18
63
