2014.06.30 10:52:51;0;START
2014.06.30 10:52:54;3;1;lines(18) 
2014.06.30 10:52:55;4;2;lines(18) 
2014.06.30 10:52:56;5;1;lines(18) 
2014.06.30 10:52:58;7;1;lines(18) 
2014.06.30 10:52:59;8;2;lines(18) 
2014.06.30 10:53:00;9;1;lines(15) 
2014.06.30 10:53:02;11;1;lines(16) 
2014.06.30 10:53:02;11;2;lines(18) 
2014.06.30 10:53:04;13;1;lines(17) 
2014.06.30 10:53:04;13;1;drop(1) 
2014.06.30 10:53:04;13;2;lines(16) 
2014.06.30 10:53:04;13;2;drop(1) 
2014.06.30 10:53:08;17;1;lines(16) 
2014.06.30 10:53:08;17;2;lines(17) 
2014.06.30 10:53:10;19;1;lines(14) 
2014.06.30 10:53:11;20;2;lines(17) 
2014.06.30 10:53:12;21;1;lines(17) 
2014.06.30 10:53:12;21;1;drop(1) 
2014.06.30 10:53:14;23;1;lines(13) 
2014.06.30 10:53:14;23;2;lines(15) 
2014.06.30 10:53:16;25;1;lines(16) 
2014.06.30 10:53:18;27;2;lines(16) 
2014.06.30 10:53:19;28;1;lines(16) 
2014.06.30 10:53:21;30;2;lines(15) 
2014.06.30 10:53:22;31;1;lines(16) 
2014.06.30 10:53:23;32;2;lines(12) 
2014.06.30 10:53:25;34;1;lines(15) 
2014.06.30 10:53:26;35;2;lines(13) 
2014.06.30 10:53:27;36;1;lines(14) 
2014.06.30 10:53:29;38;1;lines(14) 
2014.06.30 10:53:29;38;2;lines(16) 
2014.06.30 10:53:30;39;1;lines(14) 
2014.06.30 10:53:30;39;1;drop(2) 
2014.06.30 10:53:30;39;1;send(2) 
2014.06.30 10:53:32;41;2;lines(13) 
2014.06.30 10:53:33;42;1;lines(14) 
2014.06.30 10:53:34;43;2;lines(11) 
2014.06.30 10:53:35;44;1;lines(14) 
2014.06.30 10:53:37;46;2;lines(11) 
2014.06.30 10:53:37;46;1;lines(14) 
2014.06.30 10:53:39;48;2;lines(9) 
2014.06.30 10:53:40;49;1;lines(14) 
2014.06.30 10:53:41;50;2;lines(11) 
2014.06.30 10:53:42;51;1;lines(14) 
2014.06.30 10:53:42;51;1;drop(1) 
2014.06.30 10:53:43;52;2;lines(9) 
2014.06.30 10:53:45;54;1;lines(13) 
2014.06.30 10:53:45;54;2;lines(8) 
2014.06.30 10:53:47;56;2;lines(8) 
2014.06.30 10:53:48;57;1;lines(13) 
2014.06.30 10:53:49;58;2;lines(8) 
2014.06.30 10:53:49;58;1;lines(12) 
2014.06.30 10:53:51;60;2;lines(7) 
2014.06.30 10:53:51;60;1;lines(13) 
2014.06.30 10:53:52;61;2;lines(6) 
2014.06.30 10:53:53;62;1;lines(14) 
2014.06.30 10:53:53;62;1;drop(1) 
2014.06.30 10:53:54;63;2;lines(7) 
2014.06.30 10:53:55;64;2;lines(5) 
2014.06.30 10:53:56;65;1;lines(12) 
2014.06.30 10:53:56;65;1;drop(1) 
2014.06.30 10:53:57;66;2;lines(5) 
2014.06.30 10:53:58;67;1;lines(13) 
2014.06.30 10:53:59;68;2;lines(7) 
2014.06.30 10:53:59;68;2;drop(1) 
2014.06.30 10:54:00;69;1;lines(13) 
2014.06.30 10:54:00;69;2;lines(4) 
2014.06.30 10:54:01;70;1;lines(12) 
2014.06.30 10:54:01;70;2;lines(5) 
2014.06.30 10:54:02;71;1;lines(13) 
2014.06.30 10:54:02;71;2;lines(5) 
2014.06.30 10:54:04;73;2;lines(4) 
2014.06.30 10:54:04;73;1;lines(12) 
2014.06.30 10:54:04;73;1;drop(2) 
2014.06.30 10:54:04;73;1;send(2) 
2014.06.30 10:54:04;73;2;lines(1) 
2014.06.30 10:54:05;74;2;lines(0) 
2014.06.30 10:54:05;74;2;lines(-1) 
2014.06.30 10:54:05;74;2;lines(-3) 
########
2014-06-30 10:52:51
2014-06-30 10:54:05
74
