2014.06.12 14:07:02;0;START
2014.06.12 14:07:05;3;2;lines(18) 
2014.06.12 14:07:06;4;1;lines(18) 
2014.06.12 14:07:08;6;2;lines(17) 
2014.06.12 14:07:09;7;1;lines(17) 
2014.06.12 14:07:10;8;2;lines(18) 
2014.06.12 14:07:10;8;2;drop(1) 
2014.06.12 14:07:13;11;2;lines(18) 
2014.06.12 14:07:13;11;1;lines(18) 
2014.06.12 14:07:13;11;1;drop(1) 
2014.06.12 14:07:16;14;2;lines(18) 
2014.06.12 14:07:17;15;1;lines(18) 
2014.06.12 14:07:18;16;2;lines(17) 
2014.06.12 14:07:18;16;2;drop(1) 
2014.06.12 14:07:20;18;1;lines(17) 
2014.06.12 14:07:22;20;2;lines(17) 
2014.06.12 14:07:24;22;1;lines(17) 
2014.06.12 14:07:24;22;2;lines(17) 
2014.06.12 14:07:27;25;1;lines(15) 
2014.06.12 14:07:27;25;2;lines(16) 
2014.06.12 14:07:30;28;1;lines(15) 
2014.06.12 14:07:30;28;2;lines(16) 
2014.06.12 14:07:33;31;1;lines(15) 
2014.06.12 14:07:34;32;2;lines(16) 
2014.06.12 14:07:36;34;1;lines(15) 
2014.06.12 14:07:37;35;2;lines(15) 
2014.06.12 14:07:39;37;1;lines(13) 
2014.06.12 14:07:40;38;2;lines(15) 
2014.06.12 14:07:41;39;1;lines(13) 
2014.06.12 14:07:42;40;2;lines(13) 
2014.06.12 14:07:44;42;1;lines(12) 
2014.06.12 14:07:45;43;2;lines(13) 
2014.06.12 14:07:46;44;1;lines(11) 
2014.06.12 14:07:48;46;2;lines(14) 
2014.06.12 14:07:48;46;2;drop(1) 
2014.06.12 14:07:49;47;1;lines(13) 
2014.06.12 14:07:51;49;2;lines(14) 
2014.06.12 14:07:51;49;2;drop(1) 
2014.06.12 14:07:51;49;1;lines(10) 
2014.06.12 14:07:53;51;2;lines(14) 
2014.06.12 14:07:53;51;2;drop(1) 
2014.06.12 14:07:54;52;1;lines(10) 
2014.06.12 14:07:56;54;1;lines(9) 
2014.06.12 14:07:56;54;2;lines(12) 
2014.06.12 14:07:58;56;1;lines(11) 
2014.06.12 14:07:58;56;1;drop(1) 
2014.06.12 14:07:59;57;2;lines(16) 
2014.06.12 14:08:00;58;1;lines(10) 
2014.06.12 14:08:02;60;2;lines(14) 
2014.06.12 14:08:02;60;1;lines(9) 
2014.06.12 14:08:04;62;2;lines(14) 
2014.06.12 14:08:05;63;1;lines(9) 
2014.06.12 14:08:05;63;1;drop(1) 
2014.06.12 14:08:06;64;2;lines(14) 
2014.06.12 14:08:07;65;1;lines(10) 
2014.06.12 14:08:08;66;2;lines(14) 
2014.06.12 14:08:09;67;1;lines(10) 
2014.06.12 14:08:11;69;2;lines(13) 
2014.06.12 14:08:11;69;1;lines(9) 
2014.06.12 14:08:12;70;2;lines(12) 
2014.06.12 14:08:13;71;1;lines(9) 
2014.06.12 14:08:14;72;2;lines(11) 
2014.06.12 14:08:14;72;2;drop(1) 
2014.06.12 14:08:15;73;1;lines(6) 
2014.06.12 14:08:16;74;1;lines(4) 
2014.06.12 14:08:17;75;2;lines(12) 
2014.06.12 14:08:18;76;1;lines(7) 
2014.06.12 14:08:19;77;1;lines(6) 
2014.06.12 14:08:19;77;2;lines(12) 
2014.06.12 14:08:20;78;1;lines(4) 
2014.06.12 14:08:21;79;2;lines(12) 
2014.06.12 14:08:21;79;1;lines(2) 
2014.06.12 14:08:23;81;1;lines(6) 
2014.06.12 14:08:23;81;2;lines(11) 
2014.06.12 14:08:23;81;2;drop(1) 
2014.06.12 14:08:24;82;1;lines(5) 
2014.06.12 14:08:25;83;1;lines(3) 
2014.06.12 14:08:26;84;2;lines(11) 
2014.06.12 14:08:26;84;1;lines(2) 
2014.06.12 14:08:27;85;1;lines(0) 
2014.06.12 14:08:27;85;1;lines(-3) 
########
2014-06-12 14:07:02
2014-06-12 14:08:27
85
