2014.06.13 12:44:58;0;START
2014.06.13 12:45:02;4;1;lines(18) 
2014.06.13 12:45:02;4;2;lines(18) 
2014.06.13 12:45:05;7;1;lines(17) 
2014.06.13 12:45:05;7;2;lines(17) 
2014.06.13 12:45:08;10;1;lines(15) 
2014.06.13 12:45:08;10;2;lines(15) 
2014.06.13 12:45:12;14;1;lines(18) 
2014.06.13 12:45:12;14;2;lines(18) 
2014.06.13 12:45:15;17;2;lines(15) 
2014.06.13 12:45:15;17;1;lines(16) 
2014.06.13 12:45:18;20;2;lines(16) 
2014.06.13 12:45:18;20;1;lines(16) 
2014.06.13 12:45:21;23;1;lines(15) 
2014.06.13 12:45:21;23;2;lines(17) 
2014.06.13 12:45:21;23;2;drop(2) 
2014.06.13 12:45:21;23;2;send(2) 
2014.06.13 12:45:23;25;1;lines(15) 
2014.06.13 12:45:23;25;1;drop(1) 
2014.06.13 12:45:25;27;2;lines(17) 
2014.06.13 12:45:25;27;1;lines(14) 
2014.06.13 12:45:28;30;1;lines(13) 
2014.06.13 12:45:28;30;1;drop(1) 
2014.06.13 12:45:28;30;2;lines(17) 
2014.06.13 12:45:28;30;2;drop(1) 
2014.06.13 12:45:31;33;1;lines(12) 
2014.06.13 12:45:31;33;2;lines(15) 
2014.06.13 12:45:34;36;1;lines(14) 
2014.06.13 12:45:35;37;2;lines(17) 
2014.06.13 12:45:36;38;1;lines(13) 
2014.06.13 12:45:38;40;2;lines(17) 
2014.06.13 12:45:38;40;1;lines(9) 
2014.06.13 12:45:41;43;1;lines(12) 
2014.06.13 12:45:41;43;2;lines(16) 
2014.06.13 12:45:44;46;1;lines(12) 
2014.06.13 12:45:45;47;2;lines(16) 
2014.06.13 12:45:45;47;2;drop(1) 
2014.06.13 12:45:46;48;1;lines(13) 
2014.06.13 12:45:46;48;1;drop(1) 
2014.06.13 12:45:48;50;2;lines(14) 
2014.06.13 12:45:49;51;1;lines(12) 
2014.06.13 12:45:51;53;2;lines(16) 
2014.06.13 12:45:51;53;1;lines(11) 
2014.06.13 12:45:53;55;1;lines(6) 
2014.06.13 12:45:54;56;2;lines(16) 
2014.06.13 12:45:55;57;1;lines(8) 
2014.06.13 12:45:57;59;2;lines(14) 
2014.06.13 12:45:57;59;1;lines(12) 
2014.06.13 12:46:00;62;1;lines(10) 
2014.06.13 12:46:00;62;2;lines(15) 
2014.06.13 12:46:00;62;2;drop(1) 
2014.06.13 12:46:02;64;1;lines(10) 
2014.06.13 12:46:03;65;2;lines(14) 
2014.06.13 12:46:04;66;1;lines(9) 
2014.06.13 12:46:05;67;1;lines(5) 
2014.06.13 12:46:06;68;2;lines(15) 
2014.06.13 12:46:07;69;1;lines(8) 
2014.06.13 12:46:09;71;1;lines(7) 
2014.06.13 12:46:09;71;2;lines(15) 
2014.06.13 12:46:09;71;2;drop(1) 
2014.06.13 12:46:11;73;1;lines(7) 
2014.06.13 12:46:12;74;1;lines(6) 
2014.06.13 12:46:12;74;2;lines(14) 
2014.06.13 12:46:12;74;2;drop(1) 
2014.06.13 12:46:14;76;1;lines(10) 
2014.06.13 12:46:14;76;1;drop(1) 
2014.06.13 12:46:15;77;2;lines(16) 
2014.06.13 12:46:16;78;1;lines(5) 
2014.06.13 12:46:17;79;1;lines(4) 
2014.06.13 12:46:18;80;1;lines(4) 
2014.06.13 12:46:19;81;2;lines(15) 
2014.06.13 12:46:19;81;1;lines(3) 
2014.06.13 12:46:20;82;1;lines(3) 
2014.06.13 12:46:21;83;1;lines(3) 
2014.06.13 12:46:21;83;2;lines(14) 
2014.06.13 12:46:22;84;1;lines(1) 
2014.06.13 12:46:23;85;1;lines(2) 
2014.06.13 12:46:24;86;1;lines(1) 
2014.06.13 12:46:24;86;1;lines(0) 
2014.06.13 12:46:24;86;1;lines(-2) 
########
2014-06-13 12:44:58
2014-06-13 12:46:24
86
