2014.06.13 12:41:16;0;START
2014.06.13 12:41:18;2;2;lines(17) 
2014.06.13 12:41:19;3;1;lines(17) 
2014.06.13 12:41:21;5;2;lines(17) 
2014.06.13 12:41:22;6;1;lines(17) 
2014.06.13 12:41:24;8;2;lines(16) 
2014.06.13 12:41:26;10;1;lines(16) 
2014.06.13 12:41:26;10;2;lines(15) 
2014.06.13 12:41:29;13;1;lines(17) 
2014.06.13 12:41:29;13;2;lines(18) 
2014.06.13 12:41:32;16;1;lines(17) 
2014.06.13 12:41:33;17;2;lines(16) 
2014.06.13 12:41:34;18;2;lines(13) 
2014.06.13 12:41:34;18;1;lines(16) 
2014.06.13 12:41:36;20;2;lines(15) 
2014.06.13 12:41:36;20;2;drop(1) 
2014.06.13 12:41:38;22;1;lines(15) 
2014.06.13 12:41:38;22;1;drop(1) 
2014.06.13 12:41:38;22;2;lines(15) 
2014.06.13 12:41:41;25;1;lines(17) 
2014.06.13 12:41:42;26;2;lines(15) 
2014.06.13 12:41:43;27;1;lines(16) 
2014.06.13 12:41:44;28;2;lines(14) 
2014.06.13 12:41:46;30;2;lines(13) 
2014.06.13 12:41:47;31;1;lines(15) 
2014.06.13 12:41:48;32;2;lines(14) 
2014.06.13 12:41:49;33;1;lines(15) 
2014.06.13 12:41:49;33;2;lines(14) 
2014.06.13 12:41:49;33;2;drop(2) 
2014.06.13 12:41:49;33;2;send(2) 
2014.06.13 12:41:51;35;2;lines(16) 
2014.06.13 12:41:52;36;1;lines(12) 
2014.06.13 12:41:52;36;2;lines(14) 
2014.06.13 12:41:52;36;2;drop(1) 
2014.06.13 12:41:54;38;1;lines(12) 
2014.06.13 12:41:55;39;2;lines(16) 
2014.06.13 12:41:55;39;2;drop(1) 
2014.06.13 12:41:56;40;1;lines(10) 
2014.06.13 12:41:58;42;1;lines(11) 
2014.06.13 12:41:58;42;1;drop(1) 
2014.06.13 12:41:58;42;2;lines(16) 
2014.06.13 12:42:01;45;1;lines(11) 
2014.06.13 12:42:01;45;2;lines(16) 
2014.06.13 12:42:03;47;2;lines(15) 
2014.06.13 12:42:03;47;1;lines(10) 
2014.06.13 12:42:04;48;2;lines(14) 
2014.06.13 12:42:05;49;1;lines(12) 
2014.06.13 12:42:06;50;2;lines(14) 
2014.06.13 12:42:06;50;2;drop(1) 
2014.06.13 12:42:08;52;1;lines(10) 
2014.06.13 12:42:08;52;2;lines(13) 
2014.06.13 12:42:09;53;1;lines(10) 
2014.06.13 12:42:10;54;2;lines(14) 
2014.06.13 12:42:11;55;2;lines(13) 
2014.06.13 12:42:12;56;1;lines(9) 
2014.06.13 12:42:13;57;1;lines(6) 
2014.06.13 12:42:14;58;2;lines(13) 
2014.06.13 12:42:15;59;1;lines(7) 
2014.06.13 12:42:15;59;2;lines(14) 
2014.06.13 12:42:15;59;2;drop(1) 
2014.06.13 12:42:17;61;1;lines(7) 
2014.06.13 12:42:17;61;2;lines(14) 
2014.06.13 12:42:18;62;1;lines(6) 
2014.06.13 12:42:19;63;2;lines(13) 
2014.06.13 12:42:20;64;1;lines(7) 
2014.06.13 12:42:21;65;1;lines(5) 
2014.06.13 12:42:21;65;2;lines(11) 
2014.06.13 12:42:23;67;1;lines(5) 
2014.06.13 12:42:23;67;1;drop(1) 
2014.06.13 12:42:24;68;2;lines(12) 
2014.06.13 12:42:24;68;1;lines(6) 
2014.06.13 12:42:25;69;1;lines(4) 
2014.06.13 12:42:26;70;2;lines(13) 
2014.06.13 12:42:27;71;1;lines(5) 
2014.06.13 12:42:28;72;2;lines(10) 
2014.06.13 12:42:28;72;1;lines(3) 
2014.06.13 12:42:29;73;1;lines(3) 
2014.06.13 12:42:30;74;1;lines(2) 
2014.06.13 12:42:30;74;2;lines(10) 
2014.06.13 12:42:30;74;1;lines(0) 
2014.06.13 12:42:30;74;1;lines(-2) 
2014.06.13 12:42:30;74;1;lines(-2) 
########
2014-06-13 12:41:16
2014-06-13 12:42:30
74
