2014.06.30 10:32:43;0;START
2014.06.30 10:32:45;2;1;lines(17) 
2014.06.30 10:32:45;2;2;lines(17) 
2014.06.30 10:32:46;3;1;lines(18) 
2014.06.30 10:32:47;4;2;lines(17) 
2014.06.30 10:32:48;5;2;lines(16) 
2014.06.30 10:32:49;6;1;lines(15) 
2014.06.30 10:32:51;8;1;lines(18) 
2014.06.30 10:32:51;8;1;drop(1) 
2014.06.30 10:32:51;8;2;lines(18) 
2014.06.30 10:32:52;9;1;lines(17) 
2014.06.30 10:32:52;9;2;lines(17) 
2014.06.30 10:32:52;9;2;drop(1) 
2014.06.30 10:32:55;12;2;lines(17) 
2014.06.30 10:32:55;12;1;lines(17) 
2014.06.30 10:32:58;15;2;lines(17) 
2014.06.30 10:32:58;15;2;drop(1) 
2014.06.30 10:32:59;16;1;lines(17) 
2014.06.30 10:32:59;16;2;lines(17) 
2014.06.30 10:33:00;17;1;lines(17) 
2014.06.30 10:33:00;17;1;drop(1) 
2014.06.30 10:33:01;18;2;lines(17) 
2014.06.30 10:33:01;18;2;drop(1) 
2014.06.30 10:33:03;20;2;lines(17) 
2014.06.30 10:33:04;21;1;lines(17) 
2014.06.30 10:33:04;21;2;lines(17) 
2014.06.30 10:33:06;23;2;lines(16) 
2014.06.30 10:33:06;23;1;lines(15) 
2014.06.30 10:33:08;25;2;lines(15) 
2014.06.30 10:33:08;25;1;lines(16) 
2014.06.30 10:33:08;25;1;drop(1) 
2014.06.30 10:33:10;27;1;lines(17) 
2014.06.30 10:33:10;27;1;drop(1) 
2014.06.30 10:33:10;27;2;lines(16) 
2014.06.30 10:33:10;27;2;drop(1) 
2014.06.30 10:33:12;29;2;lines(14) 
2014.06.30 10:33:12;29;1;lines(17) 
2014.06.30 10:33:14;31;1;lines(16) 
2014.06.30 10:33:14;31;2;lines(16) 
2014.06.30 10:33:14;31;2;drop(1) 
2014.06.30 10:33:16;33;1;lines(17) 
2014.06.30 10:33:16;33;1;drop(1) 
2014.06.30 10:33:17;34;2;lines(16) 
2014.06.30 10:33:19;36;1;lines(15) 
2014.06.30 10:33:20;37;2;lines(17) 
2014.06.30 10:33:20;37;2;drop(1) 
2014.06.30 10:33:22;39;2;lines(17) 
2014.06.30 10:33:22;39;1;lines(16) 
2014.06.30 10:33:24;41;2;lines(17) 
2014.06.30 10:33:25;42;1;lines(16) 
