2014.06.11 11:02:40;0;START
2014.06.11 11:02:43;3;1;lines(18)
2014.06.11 11:02:44;4;2;lines(17)
2014.06.11 11:02:45;5;1;lines(16)
2014.06.11 11:02:47;7;2;lines(17)
2014.06.11 11:02:48;8;1;lines(16)
2014.06.11 11:02:50;10;1;lines(17)
2014.06.11 11:02:50;10;2;lines(17)
2014.06.11 11:02:52;12;1;lines(14)
2014.06.11 11:02:53;13;2;lines(17)
2014.06.11 11:02:54;14;1;lines(17)
2014.06.11 11:02:54;14;1;drop(1)
2014.06.11 11:02:56;16;1;lines(18)
2014.06.11 11:02:57;17;2;lines(16)
2014.06.11 11:02:58;18;1;lines(17)
2014.06.11 11:02:58;18;1;drop(1)
2014.06.11 11:03:00;20;2;lines(15)
2014.06.11 11:03:00;20;1;lines(15)
2014.06.11 11:03:02;22;1;lines(17)
2014.06.11 11:03:02;22;1;drop(1)
2014.06.11 11:03:03;23;2;lines(15)
2014.06.11 11:03:03;23;2;drop(1)
2014.06.11 11:03:05;25;1;lines(16)
2014.06.11 11:03:06;26;2;lines(15)
2014.06.11 11:03:08;28;1;lines(17)
2014.06.11 11:03:09;29;2;lines(14)
2014.06.11 11:03:10;30;1;lines(16)
2014.06.11 11:03:12;32;2;lines(14)
2014.06.11 11:03:12;32;1;lines(14)
2014.06.11 11:03:15;35;2;lines(14)
2014.06.11 11:03:15;35;1;lines(17)
2014.06.11 11:03:17;37;2;lines(13)
2014.06.11 11:03:18;38;1;lines(14)
2014.06.11 11:03:20;40;2;lines(11)
2014.06.11 11:03:21;41;1;lines(13)
2014.06.11 11:03:23;43;2;lines(13)
2014.06.11 11:03:23;43;1;lines(10)
2014.06.11 11:03:25;45;1;lines(16)
2014.06.11 11:03:25;45;1;drop(1)
2014.06.11 11:03:26;46;2;lines(14)
2014.06.11 11:03:26;46;2;drop(1)
2014.06.11 11:03:26;46;1;lines(13)
2014.06.11 11:03:28;48;2;lines(12)
2014.06.11 11:03:29;49;1;lines(16)
2014.06.11 11:03:29;49;1;drop(1)
2014.06.11 11:03:30;50;1;lines(15)
2014.06.11 11:03:31;51;2;lines(13)
2014.06.11 11:03:33;53;1;lines(15)
2014.06.11 11:03:33;53;2;lines(10)
2014.06.11 11:03:34;54;1;lines(14)
2014.06.11 11:03:34;54;1;drop(1)
2014.06.11 11:03:35;55;2;lines(9)
2014.06.11 11:03:37;57;1;lines(13)
2014.06.11 11:03:37;57;2;lines(9)
2014.06.11 11:03:38;58;1;lines(13)
2014.06.11 11:03:40;60;2;lines(11)
2014.06.11 11:03:41;61;1;lines(12)
2014.06.11 11:03:41;61;2;lines(7)
2014.06.11 11:03:43;63;1;lines(13)
2014.06.11 11:03:43;63;2;lines(8)
2014.06.11 11:03:45;65;2;lines(8)
2014.06.11 11:03:45;65;2;drop(1)
2014.06.11 11:03:46;66;1;lines(13)
2014.06.11 11:03:46;66;1;drop(1)
2014.06.11 11:03:47;67;2;lines(9)
2014.06.11 11:03:48;68;1;lines(13)
2014.06.11 11:03:49;69;2;lines(7)
2014.06.11 11:03:51;71;2;lines(7)
2014.06.11 11:03:51;71;1;lines(11)
2014.06.11 11:03:52;72;2;lines(6)
2014.06.11 11:03:54;74;1;lines(13)
2014.06.11 11:03:54;74;2;lines(6)
2014.06.11 11:03:55;75;2;lines(5)
2014.06.11 11:03:56;76;1;lines(9)
2014.06.11 11:03:56;76;2;lines(4)
2014.06.11 11:03:57;77;1;lines(12)
2014.06.11 11:03:57;77;1;drop(2)
2014.06.11 11:03:57;77;1;send(2)
2014.06.11 11:03:57;77;2;lines(3)
2014.06.11 11:03:58;78;2;lines(1)
2014.06.11 11:03:58;78;2;lines(-1)
2014.06.11 11:03:59;79;2;lines(-1)
2014.06.11 11:03:59;79;2;lines(-2)
########
2014-06-11 11:02:40
2014-06-11 11:03:59
79
