2014.06.16 11:17:44;0;START
2014.06.16 11:17:46;2;1;lines(17)
2014.06.16 11:17:48;4;2;lines(17)
2014.06.16 11:17:50;6;1;lines(18)
2014.06.16 11:17:52;8;2;lines(18)
2014.06.16 11:17:53;9;1;lines(17)
2014.06.16 11:17:55;11;2;lines(17)
2014.06.16 11:17:56;12;1;lines(15)
2014.06.16 11:17:58;14;2;lines(16)
2014.06.16 11:17:58;14;1;lines(18)
2014.06.16 11:17:58;14;1;drop(1)
2014.06.16 11:18:01;17;2;lines(15)
2014.06.16 11:18:02;18;1;lines(16)
2014.06.16 11:18:04;20;1;lines(15)
2014.06.16 11:18:04;20;2;lines(16)
2014.06.16 11:18:07;23;1;lines(16)
2014.06.16 11:18:07;23;2;lines(15)
2014.06.16 11:18:10;26;1;lines(16)
2014.06.16 11:18:10;26;2;lines(15)
2014.06.16 11:18:13;29;1;lines(15)
2014.06.16 11:18:13;29;1;drop(1)
2014.06.16 11:18:13;29;2;lines(14)
2014.06.16 11:18:16;32;1;lines(14)
2014.06.16 11:18:16;32;2;lines(15)
2014.06.16 11:18:16;32;2;drop(1)
2014.06.16 11:18:18;34;1;lines(15)
2014.06.16 11:18:19;35;2;lines(14)
2014.06.16 11:18:21;37;1;lines(16)
2014.06.16 11:18:21;37;1;drop(1)
2014.06.16 11:18:22;38;2;lines(14)
2014.06.16 11:18:24;40;1;lines(15)
2014.06.16 11:18:25;41;2;lines(13)
2014.06.16 11:18:27;43;1;lines(15)
2014.06.16 11:18:28;44;2;lines(13)
2014.06.16 11:18:30;46;1;lines(15)
2014.06.16 11:18:30;46;1;drop(1)
2014.06.16 11:18:31;47;2;lines(14)
2014.06.16 11:18:32;48;1;lines(14)
2014.06.16 11:18:33;49;2;lines(13)
2014.06.16 11:18:33;49;2;drop(1)
2014.06.16 11:18:34;50;1;lines(14)
2014.06.16 11:18:34;50;1;drop(1)
2014.06.16 11:18:36;52;2;lines(11)
2014.06.16 11:18:36;52;1;lines(16)
2014.06.16 11:18:38;54;2;lines(12)
2014.06.16 11:18:39;55;1;lines(14)
2014.06.16 11:18:41;57;2;lines(12)
2014.06.16 11:18:42;58;1;lines(14)
2014.06.16 11:18:43;59;2;lines(10)
2014.06.16 11:18:44;60;1;lines(13)
2014.06.16 11:18:46;62;2;lines(11)
2014.06.16 11:18:46;62;1;lines(15)
2014.06.16 11:18:46;62;1;drop(2)
2014.06.16 11:18:46;62;1;send(2)
2014.06.16 11:18:47;63;2;lines(7)
2014.06.16 11:18:48;64;1;lines(14)
2014.06.16 11:18:49;65;2;lines(8)
2014.06.16 11:18:51;67;1;lines(14)
2014.06.16 11:18:51;67;2;lines(9)
2014.06.16 11:18:52;68;1;lines(13)
2014.06.16 11:18:53;69;2;lines(7)
2014.06.16 11:18:55;71;2;lines(6)
2014.06.16 11:18:55;71;2;drop(1)
2014.06.16 11:18:55;71;1;lines(14)
2014.06.16 11:18:55;71;1;drop(1)
2014.06.16 11:18:56;72;2;lines(8)
2014.06.16 11:18:56;72;2;drop(1)
2014.06.16 11:18:58;74;1;lines(16)
2014.06.16 11:18:58;74;2;lines(8)
2014.06.16 11:19:00;76;2;lines(7)
2014.06.16 11:19:00;76;1;lines(14)
2014.06.16 11:19:02;78;2;lines(6)
2014.06.16 11:19:03;79;2;lines(6)
2014.06.16 11:19:03;79;1;lines(14)
2014.06.16 11:19:05;81;2;lines(6)
2014.06.16 11:19:06;82;1;lines(11)
2014.06.16 11:19:06;82;2;lines(5)
2014.06.16 11:19:07;83;2;lines(4)
2014.06.16 11:19:08;84;1;lines(12)
2014.06.16 11:19:08;84;2;lines(3)
2014.06.16 11:19:09;85;2;lines(2)
2014.06.16 11:19:10;86;2;lines(-1)
2014.06.16 11:19:10;86;2;lines(1)
2014.06.16 11:19:10;86;2;lines(-3)
########
2014-06-16 11:17:44
2014-06-16 11:19:10
86
