2014.06.11 10:26:00;0;START
2014.06.11 10:26:03;3;2;lines(18)
2014.06.11 10:26:03;3;1;lines(18)
2014.06.11 10:26:05;5;1;lines(18)
2014.06.11 10:26:05;5;2;lines(17)
2014.06.11 10:26:06;6;2;lines(17)
2014.06.11 10:26:07;7;1;lines(17)
2014.06.11 10:26:08;8;2;lines(18)
2014.06.11 10:26:09;9;1;lines(17)
2014.06.11 10:26:11;11;2;lines(15)
2014.06.11 10:26:12;12;1;lines(16)
2014.06.11 10:26:13;13;2;lines(16)
2014.06.11 10:26:13;13;2;drop(1)
2014.06.11 10:26:14;14;2;lines(16)
2014.06.11 10:26:15;15;1;lines(16)
2014.06.11 10:26:15;15;1;drop(1)
2014.06.11 10:26:16;16;2;lines(17)
2014.06.11 10:26:17;17;1;lines(16)
2014.06.11 10:26:17;17;1;drop(1)
2014.06.11 10:26:19;19;2;lines(14)
2014.06.11 10:26:20;20;1;lines(15)
2014.06.11 10:26:21;21;2;lines(15)
2014.06.11 10:26:23;23;2;lines(16)
2014.06.11 10:26:23;23;2;drop(1)
2014.06.11 10:26:23;23;1;lines(17)
2014.06.11 10:26:26;26;2;lines(16)
2014.06.11 10:26:26;26;1;lines(16)
2014.06.11 10:26:28;28;1;lines(16)
2014.06.11 10:26:28;28;2;lines(14)
2014.06.11 10:26:30;30;2;lines(14)
2014.06.11 10:26:31;31;1;lines(13)
2014.06.11 10:26:32;32;2;lines(16)
2014.06.11 10:26:34;34;1;lines(14)
2014.06.11 10:26:35;35;2;lines(15)
2014.06.11 10:26:35;35;2;drop(1)
2014.06.11 10:26:36;36;1;lines(13)
2014.06.11 10:26:37;37;2;lines(12)
2014.06.11 10:26:38;38;2;lines(14)
2014.06.11 10:26:39;39;1;lines(17)
2014.06.11 10:26:40;40;2;lines(14)
2014.06.11 10:26:41;41;2;lines(14)
2014.06.11 10:26:41;41;2;drop(2)
2014.06.11 10:26:41;41;2;send(2)
2014.06.11 10:26:42;42;1;lines(12)
2014.06.11 10:26:43;43;2;lines(16)
2014.06.11 10:26:43;43;2;drop(1)
2014.06.11 10:26:44;44;1;lines(9)
2014.06.11 10:26:44;44;2;lines(15)
2014.06.11 10:26:45;45;2;lines(14)
2014.06.11 10:26:46;46;2;lines(14)
2014.06.11 10:26:46;46;1;lines(12)
2014.06.11 10:26:48;48;2;lines(12)
2014.06.11 10:26:48;48;1;lines(9)
2014.06.11 10:26:49;49;1;lines(8)
2014.06.11 10:26:51;51;2;lines(15)
2014.06.11 10:26:51;51;1;lines(8)
2014.06.11 10:26:52;52;2;lines(13)
2014.06.11 10:26:53;53;1;lines(7)
2014.06.11 10:26:53;53;2;lines(12)
2014.06.11 10:26:55;55;1;lines(9)
2014.06.11 10:26:56;56;2;lines(13)
2014.06.11 10:26:56;56;1;lines(5)
2014.06.11 10:26:57;57;1;lines(3)
2014.06.11 10:26:57;57;2;lines(11)
2014.06.11 10:26:58;58;1;lines(1)
2014.06.11 10:26:59;59;2;lines(11)
2014.06.11 10:26:59;59;1;lines(7)
2014.06.11 10:27:00;60;1;lines(4)
2014.06.11 10:27:00;60;2;lines(10)
2014.06.11 10:27:01;61;1;lines(0)
2014.06.11 10:27:02;62;1;lines(2)
2014.06.11 10:27:02;62;1;lines(-2)
########
2014-06-11 10:26:00
2014-06-11 10:27:02
62
