2014.06.16 11:16:31;0;START
2014.06.16 11:16:34;3;1;lines(18)
2014.06.16 11:16:35;4;2;lines(18)
2014.06.16 11:16:37;6;1;lines(15)
2014.06.16 11:16:38;7;2;lines(16)
2014.06.16 11:16:40;9;1;lines(18)
2014.06.16 11:16:42;11;2;lines(18)
2014.06.16 11:16:42;11;1;lines(13)
2014.06.16 11:16:45;14;2;lines(15)
2014.06.16 11:16:46;15;1;lines(18)
2014.06.16 11:16:48;17;2;lines(16)
2014.06.16 11:16:49;18;1;lines(17)
2014.06.16 11:16:51;20;2;lines(14)
2014.06.16 11:16:51;20;1;lines(15)
2014.06.16 11:16:53;22;2;lines(10)
2014.06.16 11:16:54;23;1;lines(17)
2014.06.16 11:16:54;23;1;drop(2)
2014.06.16 11:16:54;23;1;send(2)
2014.06.16 11:16:56;25;2;lines(15)
2014.06.16 11:16:57;26;1;lines(16)
2014.06.16 11:16:59;28;2;lines(12)
2014.06.16 11:17:00;29;1;lines(17)
2014.06.16 11:17:01;30;2;lines(12)
2014.06.16 11:17:03;32;1;lines(15)
2014.06.16 11:17:04;33;2;lines(10)
2014.06.16 11:17:06;35;2;lines(13)
2014.06.16 11:17:06;35;1;lines(16)
2014.06.16 11:17:06;35;1;drop(1)
2014.06.16 11:17:08;37;2;lines(9)
2014.06.16 11:17:10;39;1;lines(16)
2014.06.16 11:17:10;39;2;lines(6)
2014.06.16 11:17:12;41;2;lines(11)
2014.06.16 11:17:13;42;1;lines(14)
2014.06.16 11:17:14;43;2;lines(10)
2014.06.16 11:17:16;45;1;lines(16)
2014.06.16 11:17:16;45;1;drop(1)
2014.06.16 11:17:16;45;2;lines(8)
2014.06.16 11:17:18;47;2;lines(9)
2014.06.16 11:17:19;48;1;lines(15)
2014.06.16 11:17:20;49;2;lines(6)
2014.06.16 11:17:22;51;2;lines(6)
2014.06.16 11:17:22;51;1;lines(16)
2014.06.16 11:17:23;52;2;lines(7)
2014.06.16 11:17:23;52;2;drop(1)
2014.06.16 11:17:25;54;2;lines(6)
2014.06.16 11:17:25;54;1;lines(15)
2014.06.16 11:17:26;55;2;lines(5)
2014.06.16 11:17:28;57;2;lines(5)
2014.06.16 11:17:28;57;1;lines(13)
2014.06.16 11:17:29;58;2;lines(4)
2014.06.16 11:17:30;59;2;lines(5)
2014.06.16 11:17:31;60;1;lines(14)
2014.06.16 11:17:31;60;2;lines(3)
2014.06.16 11:17:32;61;2;lines(2)
2014.06.16 11:17:33;62;2;lines(3)
2014.06.16 11:17:34;63;1;lines(14)
2014.06.16 11:17:34;63;2;lines(2)
2014.06.16 11:17:35;64;2;lines(1)
2014.06.16 11:17:35;64;2;lines(-1)
2014.06.16 11:17:35;64;2;lines(-3)
########
2014-06-16 11:16:31
2014-06-16 11:17:35
64
