2014.06.11 11:54:33;0;START
2014.06.11 11:54:36;3;2;lines(17) 
2014.06.11 11:54:37;4;1;lines(17) 
2014.06.11 11:54:38;5;2;lines(18) 
2014.06.11 11:54:41;8;1;lines(18) 
2014.06.11 11:54:41;8;2;lines(15) 
2014.06.11 11:54:44;11;1;lines(16) 
2014.06.11 11:54:44;11;2;lines(18) 
2014.06.11 11:54:44;11;2;drop(1) 
2014.06.11 11:54:47;14;1;lines(18) 
2014.06.11 11:54:47;14;1;drop(1) 
2014.06.11 11:54:48;15;2;lines(18) 
2014.06.11 11:54:50;17;2;lines(17) 
2014.06.11 11:54:50;17;1;lines(18) 
2014.06.11 11:54:52;19;2;lines(17) 
2014.06.11 11:54:54;21;1;lines(17) 
2014.06.11 11:54:54;21;1;drop(1) 
2014.06.11 11:54:54;21;2;lines(16) 
2014.06.11 11:54:54;21;2;drop(1) 
2014.06.11 11:54:57;24;2;lines(17) 
2014.06.11 11:54:57;24;1;lines(15) 
2014.06.11 11:54:58;25;2;lines(16) 
2014.06.11 11:54:58;25;2;drop(1) 
2014.06.11 11:55:01;28;1;lines(17) 
2014.06.11 11:55:01;28;2;lines(16) 
2014.06.11 11:55:04;31;1;lines(18) 
2014.06.11 11:55:04;31;1;drop(1) 
2014.06.11 11:55:04;31;2;lines(17) 
2014.06.11 11:55:06;33;2;lines(15) 
2014.06.11 11:55:08;35;1;lines(17) 
2014.06.11 11:55:09;36;2;lines(14) 
2014.06.11 11:55:11;38;1;lines(16) 
2014.06.11 11:55:11;38;2;lines(13) 
2014.06.11 11:55:14;41;2;lines(13) 
2014.06.11 11:55:14;41;1;lines(17) 
2014.06.11 11:55:16;43;2;lines(11) 
2014.06.11 11:55:17;44;1;lines(16) 
2014.06.11 11:55:19;46;2;lines(16) 
2014.06.11 11:55:20;47;1;lines(16) 
2014.06.11 11:55:20;47;1;drop(1) 
2014.06.11 11:55:22;49;2;lines(16) 
2014.06.11 11:55:22;49;2;drop(1) 
2014.06.11 11:55:24;51;1;lines(16) 
2014.06.11 11:55:24;51;2;lines(15) 
2014.06.11 11:55:26;53;2;lines(15) 
2014.06.11 11:55:27;54;1;lines(16) 
2014.06.11 11:55:27;54;2;lines(16) 
2014.06.11 11:55:27;54;2;drop(1) 
2014.06.11 11:55:30;57;1;lines(14) 
2014.06.11 11:55:30;57;2;lines(11) 
2014.06.11 11:55:32;59;1;lines(15) 
2014.06.11 11:55:32;59;1;drop(1) 
2014.06.11 11:55:33;60;2;lines(15) 
2014.06.11 11:55:33;60;2;drop(1) 
2014.06.11 11:55:35;62;1;lines(16) 
2014.06.11 11:55:35;62;1;drop(1) 
2014.06.11 11:55:36;63;2;lines(16) 
2014.06.11 11:55:36;63;2;drop(1) 
2014.06.11 11:55:38;65;2;lines(15) 
2014.06.11 11:55:39;66;1;lines(16) 
2014.06.11 11:55:41;68;2;lines(13) 
2014.06.11 11:55:42;69;1;lines(15) 
2014.06.11 11:55:43;70;2;lines(15) 
2014.06.11 11:55:45;72;1;lines(16) 
2014.06.11 11:55:45;72;2;lines(13) 
2014.06.11 11:55:48;75;2;lines(15) 
2014.06.11 11:55:48;75;2;drop(2) 
2014.06.11 11:55:48;75;2;send(2) 
2014.06.11 11:55:48;75;1;lines(11) 
2014.06.11 11:55:50;77;2;lines(14) 
2014.06.11 11:55:50;77;1;lines(12) 
2014.06.11 11:55:53;80;2;lines(15) 
2014.06.11 11:55:53;80;2;drop(1) 
2014.06.11 11:55:53;80;2;level(3) 
2014.06.11 11:55:53;80;1;lines(12) 
2014.06.11 11:55:55;82;2;lines(13) 
2014.06.11 11:55:55;82;1;lines(10) 
2014.06.11 11:55:57;84;2;lines(15) 
2014.06.11 11:55:57;84;2;drop(1) 
2014.06.11 11:55:57;84;1;lines(9) 
2014.06.11 11:55:59;86;1;lines(11) 
2014.06.11 11:55:59;86;2;lines(15) 
2014.06.11 11:56:01;88;1;lines(8) 
2014.06.11 11:56:01;88;2;lines(13) 
2014.06.11 11:56:03;90;1;lines(9) 
2014.06.11 11:56:03;90;2;lines(13) 
2014.06.11 11:56:04;91;2;lines(15) 
2014.06.11 11:56:04;91;2;drop(1) 
2014.06.11 11:56:05;92;1;lines(13) 
2014.06.11 11:56:05;92;1;drop(1) 
2014.06.11 11:56:06;93;2;lines(13) 
2014.06.11 11:56:07;94;1;lines(9) 
2014.06.11 11:56:08;95;2;lines(12) 
2014.06.11 11:56:09;96;1;lines(8) 
2014.06.11 11:56:10;97;2;lines(12) 
2014.06.11 11:56:11;98;1;lines(10) 
2014.06.11 11:56:12;99;2;lines(11) 
2014.06.11 11:56:12;99;1;lines(7) 
2014.06.11 11:56:14;101;2;lines(9) 
2014.06.11 11:56:14;101;1;lines(6) 
2014.06.11 11:56:15;102;2;lines(11) 
2014.06.11 11:56:16;103;1;lines(8) 
2014.06.11 11:56:17;104;2;lines(8) 
2014.06.11 11:56:17;104;1;lines(7) 
2014.06.11 11:56:17;104;1;drop(1) 
2014.06.11 11:56:19;106;2;lines(11) 
2014.06.11 11:56:19;106;1;lines(5) 
2014.06.11 11:56:20;107;2;lines(10) 
2014.06.11 11:56:21;108;1;lines(7) 
2014.06.11 11:56:22;109;1;lines(5) 
2014.06.11 11:56:22;109;2;lines(9) 
2014.06.11 11:56:24;111;1;lines(6) 
2014.06.11 11:56:24;111;2;lines(9) 
2014.06.11 11:56:25;112;1;lines(4) 
2014.06.11 11:56:25;112;2;lines(7) 
2014.06.11 11:56:26;113;1;lines(3) 
2014.06.11 11:56:26;113;2;lines(6) 
2014.06.11 11:56:27;114;1;lines(3) 
2014.06.11 11:56:28;115;2;lines(7) 
