2014.06.12 13:50:14;0;START
2014.06.12 13:50:17;3;1;lines(18) 
2014.06.12 13:50:18;4;2;lines(18) 
2014.06.12 13:50:20;6;1;lines(18) 
2014.06.12 13:50:21;7;2;lines(17) 
2014.06.12 13:50:23;9;1;lines(17) 
2014.06.12 13:50:24;10;2;lines(17) 
2014.06.12 13:50:26;12;1;lines(16) 
2014.06.12 13:50:28;14;2;lines(17) 
2014.06.12 13:50:30;16;1;lines(16) 
2014.06.12 13:50:31;17;2;lines(15) 
2014.06.12 13:50:32;18;1;lines(15) 
2014.06.12 13:50:34;20;2;lines(16) 
2014.06.12 13:50:35;21;1;lines(16) 
2014.06.12 13:50:37;23;2;lines(13) 
2014.06.12 13:50:38;24;1;lines(14) 
2014.06.12 13:50:40;26;2;lines(17) 
2014.06.12 13:50:40;26;2;drop(1) 
2014.06.12 13:50:41;27;1;lines(15) 
2014.06.12 13:50:44;30;2;lines(16) 
2014.06.12 13:50:44;30;1;lines(14) 
2014.06.12 13:50:46;32;2;lines(14) 
2014.06.12 13:50:47;33;1;lines(12) 
2014.06.12 13:50:49;35;1;lines(12) 
2014.06.12 13:50:49;35;2;lines(14) 
2014.06.12 13:50:52;38;1;lines(14) 
2014.06.12 13:50:53;39;2;lines(16) 
2014.06.12 13:50:54;40;1;lines(10) 
2014.06.12 13:50:56;42;2;lines(15) 
2014.06.12 13:50:57;43;1;lines(13) 
2014.06.12 13:50:57;43;1;drop(1) 
2014.06.12 13:50:58;44;2;lines(10) 
2014.06.12 13:50:59;45;1;lines(12) 
2014.06.12 13:51:00;46;2;lines(13) 
2014.06.12 13:51:00;46;2;drop(1) 
2014.06.12 13:51:02;48;1;lines(13) 
2014.06.12 13:51:03;49;2;lines(14) 
2014.06.12 13:51:04;50;1;lines(10) 
2014.06.12 13:51:05;51;2;lines(11) 
2014.06.12 13:51:07;53;1;lines(11) 
2014.06.12 13:51:07;53;2;lines(8) 
2014.06.12 13:51:09;55;1;lines(12) 
2014.06.12 13:51:10;56;2;lines(14) 
2014.06.12 13:51:11;57;1;lines(9) 
2014.06.12 13:51:12;58;2;lines(12) 
2014.06.12 13:51:13;59;1;lines(8) 
2014.06.12 13:51:15;61;2;lines(10) 
2014.06.12 13:51:15;61;1;lines(7) 
2014.06.12 13:51:17;63;1;lines(9) 
2014.06.12 13:51:17;63;2;lines(11) 
2014.06.12 13:51:19;65;1;lines(8) 
2014.06.12 13:51:19;65;2;lines(9) 
2014.06.12 13:51:20;66;1;lines(6) 
2014.06.12 13:51:21;67;2;lines(10) 
2014.06.12 13:51:22;68;1;lines(6) 
2014.06.12 13:51:23;69;1;lines(5) 
2014.06.12 13:51:23;69;2;lines(8) 
2014.06.12 13:51:25;71;1;lines(5) 
2014.06.12 13:51:25;71;2;lines(8) 
2014.06.12 13:51:26;72;1;lines(4) 
2014.06.12 13:51:27;73;2;lines(8) 
2014.06.12 13:51:27;73;1;lines(4) 
2014.06.12 13:51:28;74;1;lines(3) 
2014.06.12 13:51:29;75;2;lines(6) 
2014.06.12 13:51:29;75;1;lines(2) 
2014.06.12 13:51:30;76;1;lines(1) 
2014.06.12 13:51:30;76;1;lines(-1) 
########
2014-06-12 13:50:14
2014-06-12 13:51:30
76
