2014.06.30 10:41:56;0;START
2014.06.30 10:41:59;3;2;lines(17) 
2014.06.30 10:42:00;4;1;lines(16) 
2014.06.30 10:42:01;5;2;lines(15) 
2014.06.30 10:42:01;5;1;lines(16) 
2014.06.30 10:42:04;8;2;lines(17) 
2014.06.30 10:42:04;8;1;lines(14) 
2014.06.30 10:42:07;11;2;lines(16) 
2014.06.30 10:42:08;12;1;lines(16) 
2014.06.30 10:42:10;14;2;lines(15) 
2014.06.30 10:42:10;14;1;lines(18) 
2014.06.30 10:42:12;16;2;lines(13) 
2014.06.30 10:42:13;17;1;lines(17) 
2014.06.30 10:42:14;18;2;lines(17) 
2014.06.30 10:42:16;20;1;lines(13) 
2014.06.30 10:42:17;21;2;lines(12) 
2014.06.30 10:42:19;23;1;lines(16) 
2014.06.30 10:42:20;24;2;lines(17) 
2014.06.30 10:42:22;26;1;lines(15) 
2014.06.30 10:42:22;26;2;lines(14) 
2014.06.30 10:42:25;29;2;lines(10) 
2014.06.30 10:42:25;29;1;lines(14) 
2014.06.30 10:42:26;30;1;lines(14) 
2014.06.30 10:42:27;31;2;lines(15) 
2014.06.30 10:42:29;33;1;lines(13) 
2014.06.30 10:42:29;33;2;lines(12) 
2014.06.30 10:42:31;35;1;lines(12) 
2014.06.30 10:42:32;36;2;lines(11) 
2014.06.30 10:42:34;38;1;lines(13) 
2014.06.30 10:42:34;38;1;drop(1) 
2014.06.30 10:42:34;38;2;lines(13) 
2014.06.30 10:42:36;40;2;lines(11) 
2014.06.30 10:42:36;40;1;lines(13) 
2014.06.30 10:42:36;40;1;drop(1) 
2014.06.30 10:42:38;42;2;lines(11) 
2014.06.30 10:42:39;43;1;lines(13) 
2014.06.30 10:42:40;44;2;lines(8) 
2014.06.30 10:42:41;45;1;lines(13) 
2014.06.30 10:42:42;46;2;lines(10) 
2014.06.30 10:42:42;46;2;drop(1) 
2014.06.30 10:42:43;47;1;lines(13) 
2014.06.30 10:42:43;47;1;drop(1) 
2014.06.30 10:42:44;48;2;lines(10) 
2014.06.30 10:42:46;50;2;lines(8) 
2014.06.30 10:42:46;50;1;lines(13) 
2014.06.30 10:42:48;52;2;lines(9) 
2014.06.30 10:42:49;53;2;lines(7) 
2014.06.30 10:42:49;53;1;lines(14) 
2014.06.30 10:42:50;54;2;lines(7) 
2014.06.30 10:42:52;56;1;lines(12) 
2014.06.30 10:42:52;56;1;drop(1) 
2014.06.30 10:42:52;56;2;lines(6) 
2014.06.30 10:42:53;57;2;lines(9) 
2014.06.30 10:42:54;58;1;lines(13) 
2014.06.30 10:42:55;59;2;lines(5) 
2014.06.30 10:42:56;60;2;lines(5) 
2014.06.30 10:42:57;61;1;lines(13) 
2014.06.30 10:42:57;61;2;lines(4) 
2014.06.30 10:42:59;63;2;lines(4) 
2014.06.30 10:42:59;63;2;lines(3) 
2014.06.30 10:43:00;64;1;lines(12) 
2014.06.30 10:43:00;64;2;lines(3) 
2014.06.30 10:43:00;64;2;drop(1) 
2014.06.30 10:43:02;66;2;lines(4) 
2014.06.30 10:43:02;66;1;lines(12) 
2014.06.30 10:43:02;66;1;drop(1) 
2014.06.30 10:43:03;67;2;lines(2) 
2014.06.30 10:43:03;67;2;lines(2) 
2014.06.30 10:43:04;68;2;lines(2) 
2014.06.30 10:43:05;69;1;lines(11) 
2014.06.30 10:43:05;69;2;lines(2) 
2014.06.30 10:43:06;70;2;lines(0) 
2014.06.30 10:43:06;70;2;lines(-2) 
2014.06.30 10:43:06;70;2;lines(-3) 
########
2014-06-30 10:41:56
2014-06-30 10:43:06
70
