2014.06.11 11:28:06;0;START
2014.06.11 11:28:09;3;2;lines(18) 
2014.06.11 11:28:09;3;1;lines(18) 
2014.06.11 11:28:12;6;2;lines(17) 
2014.06.11 11:28:13;7;1;lines(16) 
2014.06.11 11:28:16;10;2;lines(16) 
2014.06.11 11:28:16;10;1;lines(15) 
2014.06.11 11:28:19;13;2;lines(17) 
2014.06.11 11:28:19;13;1;lines(17) 
2014.06.11 11:28:22;16;1;lines(13) 
2014.06.11 11:28:22;16;2;lines(15) 
2014.06.11 11:28:25;19;2;lines(16) 
2014.06.11 11:28:25;19;1;lines(18) 
2014.06.11 11:28:28;22;2;lines(14) 
2014.06.11 11:28:29;23;1;lines(16) 
2014.06.11 11:28:29;23;1;drop(1) 
2014.06.11 11:28:31;25;2;lines(15) 
2014.06.11 11:28:32;26;1;lines(17) 
2014.06.11 11:28:32;26;1;drop(1) 
2014.06.11 11:28:35;29;2;lines(17) 
2014.06.11 11:28:35;29;2;drop(1) 
2014.06.11 11:28:36;30;1;lines(18) 
2014.06.11 11:28:38;32;2;lines(14) 
2014.06.11 11:28:39;33;1;lines(16) 
2014.06.11 11:28:41;35;2;lines(16) 
2014.06.11 11:28:41;35;2;drop(1) 
2014.06.11 11:28:42;36;1;lines(17) 
2014.06.11 11:28:42;36;1;drop(1) 
2014.06.11 11:28:44;38;2;lines(16) 
2014.06.11 11:28:46;40;1;lines(17) 
2014.06.11 11:28:47;41;2;lines(15) 
2014.06.11 11:28:47;41;2;drop(1) 
2014.06.11 11:28:49;43;1;lines(15) 
2014.06.11 11:28:50;44;2;lines(15) 
2014.06.11 11:28:52;46;1;lines(17) 
2014.06.11 11:28:52;46;1;drop(1) 
2014.06.11 11:28:53;47;2;lines(14) 
2014.06.11 11:28:56;50;1;lines(15) 
2014.06.11 11:28:56;50;2;lines(13) 
2014.06.11 11:28:59;53;1;lines(16) 
2014.06.11 11:28:59;53;1;drop(1) 
2014.06.11 11:28:59;53;2;lines(15) 
2014.06.11 11:29:02;56;1;lines(17) 
2014.06.11 11:29:02;56;2;lines(15) 
2014.06.11 11:29:05;59;2;lines(14) 
2014.06.11 11:29:06;60;1;lines(16) 
2014.06.11 11:29:08;62;2;lines(12) 
2014.06.11 11:29:09;63;1;lines(16) 
2014.06.11 11:29:09;63;1;drop(1) 
2014.06.11 11:29:11;65;2;lines(13) 
2014.06.11 11:29:12;66;1;lines(17) 
2014.06.11 11:29:12;66;1;drop(1) 
2014.06.11 11:29:13;67;2;lines(11) 
2014.06.11 11:29:15;69;2;lines(11) 
2014.06.11 11:29:16;70;1;lines(17) 
2014.06.11 11:29:18;72;2;lines(13) 
2014.06.11 11:29:18;72;2;drop(2) 
2014.06.11 11:29:18;72;2;send(2) 
2014.06.11 11:29:19;73;1;lines(14) 
2014.06.11 11:29:21;75;2;lines(13) 
2014.06.11 11:29:21;75;2;drop(1) 
2014.06.11 11:29:22;76;1;lines(14) 
2014.06.11 11:29:24;78;2;lines(14) 
2014.06.11 11:29:25;79;1;lines(15) 
2014.06.11 11:29:25;79;1;drop(1) 
2014.06.11 11:29:27;81;2;lines(13) 
2014.06.11 11:29:27;81;1;lines(13) 
2014.06.11 11:29:29;83;2;lines(12) 
2014.06.11 11:29:30;84;1;lines(13) 
2014.06.11 11:29:32;86;2;lines(12) 
2014.06.11 11:29:32;86;2;drop(1) 
2014.06.11 11:29:33;87;1;lines(13) 
2014.06.11 11:29:35;89;2;lines(13) 
2014.06.11 11:29:36;90;1;lines(12) 
2014.06.11 11:29:37;91;2;lines(12) 
2014.06.11 11:29:37;91;2;drop(1) 
2014.06.11 11:29:38;92;1;lines(10) 
2014.06.11 11:29:40;94;1;lines(11) 
2014.06.11 11:29:40;94;2;lines(15) 
2014.06.11 11:29:40;94;2;drop(1) 
2014.06.11 11:29:43;97;2;lines(13) 
2014.06.11 11:29:43;97;1;lines(14) 
2014.06.11 11:29:43;97;1;drop(2) 
2014.06.11 11:29:43;97;1;level(3) 
2014.06.11 11:29:43;97;1;send(2) 
2014.06.11 11:29:45;99;2;lines(11) 
2014.06.11 11:29:45;99;2;drop(1) 
2014.06.11 11:29:45;99;2;level(3) 
2014.06.11 11:29:46;100;1;lines(15) 
2014.06.11 11:29:48;102;2;lines(12) 
2014.06.11 11:29:48;102;1;lines(12) 
2014.06.11 11:29:49;103;1;lines(11) 
