2014.06.30 10:34:33;0;START
2014.06.30 10:34:35;2;2;lines(17) 
2014.06.30 10:34:37;4;1;lines(17) 
2014.06.30 10:34:37;4;2;lines(17) 
2014.06.30 10:34:39;6;1;lines(17) 
2014.06.30 10:34:39;6;2;lines(16) 
2014.06.30 10:34:40;7;2;lines(17) 
2014.06.30 10:34:41;8;1;lines(16) 
2014.06.30 10:34:42;9;2;lines(18) 
2014.06.30 10:34:44;11;1;lines(17) 
2014.06.30 10:34:44;11;2;lines(16) 
2014.06.30 10:34:46;13;2;lines(16) 
2014.06.30 10:34:46;13;2;drop(1) 
2014.06.30 10:34:47;14;1;lines(18) 
2014.06.30 10:34:48;15;2;lines(15) 
2014.06.30 10:34:50;17;2;lines(16) 
2014.06.30 10:34:50;17;1;lines(17) 
2014.06.30 10:34:50;17;1;drop(1) 
2014.06.30 10:34:52;19;2;lines(17) 
2014.06.30 10:34:52;19;2;drop(2) 
2014.06.30 10:34:52;19;2;send(2) 
2014.06.30 10:34:53;20;1;lines(14) 
2014.06.30 10:34:54;21;2;lines(17) 
2014.06.30 10:34:55;22;1;lines(13) 
2014.06.30 10:34:55;22;2;lines(17) 
2014.06.30 10:34:55;22;2;drop(1) 
2014.06.30 10:34:57;24;1;lines(14) 
2014.06.30 10:34:57;24;2;lines(17) 
2014.06.30 10:34:59;26;2;lines(16) 
2014.06.30 10:35:00;27;1;lines(13) 
2014.06.30 10:35:01;28;2;lines(16) 
2014.06.30 10:35:02;29;1;lines(12) 
2014.06.30 10:35:03;30;2;lines(15) 
2014.06.30 10:35:05;32;1;lines(13) 
2014.06.30 10:35:05;32;1;drop(1) 
2014.06.30 10:35:05;32;2;lines(17) 
2014.06.30 10:35:05;32;2;drop(1) 
2014.06.30 10:35:08;35;1;lines(14) 
2014.06.30 10:35:08;35;1;drop(1) 
2014.06.30 10:35:09;36;2;lines(15) 
2014.06.30 10:35:11;38;2;lines(17) 
2014.06.30 10:35:11;38;2;drop(1) 
2014.06.30 10:35:11;38;1;lines(13) 
2014.06.30 10:35:13;40;2;lines(17) 
2014.06.30 10:35:13;40;2;drop(1) 
2014.06.30 10:35:13;40;1;lines(13) 
2014.06.30 10:35:16;43;2;lines(17) 
2014.06.30 10:35:16;43;1;lines(11) 
2014.06.30 10:35:18;45;2;lines(14) 
2014.06.30 10:35:19;46;1;lines(13) 
2014.06.30 10:35:19;46;1;drop(1) 
2014.06.30 10:35:20;47;2;lines(16) 
2014.06.30 10:35:21;48;1;lines(13) 
2014.06.30 10:35:22;49;2;lines(16) 
2014.06.30 10:35:24;51;1;lines(12) 
2014.06.30 10:35:24;51;2;lines(17) 
2014.06.30 10:35:24;51;2;drop(1) 
2014.06.30 10:35:26;53;2;lines(17) 
2014.06.30 10:35:27;54;1;lines(13) 
2014.06.30 10:35:28;55;2;lines(15) 
2014.06.30 10:35:29;56;1;lines(13) 
2014.06.30 10:35:29;56;1;drop(1) 
2014.06.30 10:35:29;56;2;lines(14) 
2014.06.30 10:35:31;58;2;lines(15) 
2014.06.30 10:35:32;59;1;lines(11) 
2014.06.30 10:35:33;60;2;lines(16) 
2014.06.30 10:35:33;60;2;drop(3) 
2014.06.30 10:35:33;60;2;level(3) 
2014.06.30 10:35:33;60;2;send(3) 
2014.06.30 10:35:34;61;1;lines(8) 
2014.06.30 10:35:35;62;2;lines(17) 
2014.06.30 10:35:35;62;2;drop(1) 
2014.06.30 10:35:36;63;1;lines(8) 
2014.06.30 10:35:38;65;2;lines(18) 
2014.06.30 10:35:38;65;1;lines(8) 
2014.06.30 10:35:39;66;2;lines(16) 
2014.06.30 10:35:40;67;1;lines(8) 
2014.06.30 10:35:40;67;1;drop(1) 
2014.06.30 10:35:41;68;1;lines(7) 
2014.06.30 10:35:41;68;2;lines(17) 
2014.06.30 10:35:43;70;1;lines(5) 
2014.06.30 10:35:44;71;2;lines(15) 
2014.06.30 10:35:44;71;1;lines(7) 
2014.06.30 10:35:45;72;2;lines(16) 
2014.06.30 10:35:45;72;2;drop(1) 
2014.06.30 10:35:46;73;1;lines(7) 
2014.06.30 10:35:47;74;2;lines(16) 
2014.06.30 10:35:47;74;1;lines(5) 
2014.06.30 10:35:49;76;1;lines(6) 
2014.06.30 10:35:49;76;2;lines(16) 
2014.06.30 10:35:50;77;1;lines(4) 
2014.06.30 10:35:50;77;2;lines(16) 
2014.06.30 10:35:51;78;1;lines(4) 
2014.06.30 10:35:51;78;1;drop(1) 
2014.06.30 10:35:52;79;2;lines(15) 
2014.06.30 10:35:53;80;1;lines(6) 
2014.06.30 10:35:54;81;1;lines(4) 
2014.06.30 10:35:54;81;2;lines(13) 
2014.06.30 10:35:55;82;1;lines(3) 
2014.06.30 10:35:56;83;1;lines(4) 
2014.06.30 10:35:57;84;2;lines(14) 
2014.06.30 10:35:57;84;1;lines(3) 
2014.06.30 10:35:58;85;1;lines(2) 
2014.06.30 10:35:59;86;2;lines(13) 
2014.06.30 10:35:59;86;1;lines(0) 
2014.06.30 10:35:59;86;1;lines(-2) 
########
2014-06-30 10:34:33
2014-06-30 10:35:59
86
