2014.06.11 10:56:30;0;START
2014.06.11 10:56:32;2;1;lines(17)
2014.06.11 10:56:32;2;2;lines(17)
2014.06.11 10:56:34;4;2;lines(18)
2014.06.11 10:56:34;4;1;lines(17)
2014.06.11 10:56:36;6;2;lines(16)
2014.06.11 10:56:37;7;1;lines(17)
2014.06.11 10:56:38;8;2;lines(15)
2014.06.11 10:56:40;10;2;lines(16)
2014.06.11 10:56:40;10;1;lines(16)
2014.06.11 10:56:41;11;2;lines(16)
2014.06.11 10:56:43;13;1;lines(15)
2014.06.11 10:56:44;14;2;lines(17)
2014.06.11 10:56:44;14;2;drop(1)
2014.06.11 10:56:45;15;1;lines(16)
2014.06.11 10:56:45;15;1;drop(1)
2014.06.11 10:56:46;16;2;lines(16)
2014.06.11 10:56:46;16;2;drop(1)
2014.06.11 10:56:48;18;1;lines(17)
2014.06.11 10:56:49;19;2;lines(16)
2014.06.11 10:56:49;19;2;drop(1)
2014.06.11 10:56:50;20;1;lines(16)
2014.06.11 10:56:50;20;1;drop(1)
2014.06.11 10:56:51;21;2;lines(17)
2014.06.11 10:56:52;22;1;lines(16)
2014.06.11 10:56:53;23;2;lines(17)
2014.06.11 10:56:55;25;2;lines(16)
2014.06.11 10:56:56;26;1;lines(16)
2014.06.11 10:56:58;28;2;lines(16)
2014.06.11 10:56:58;28;2;drop(1)
2014.06.11 10:56:59;29;1;lines(15)
2014.06.11 10:57:00;30;2;lines(18)
2014.06.11 10:57:00;30;2;drop(1)
2014.06.11 10:57:02;32;1;lines(15)
2014.06.11 10:57:02;32;2;lines(17)
2014.06.11 10:57:04;34;1;lines(14)
2014.06.11 10:57:05;35;2;lines(17)
2014.06.11 10:57:06;36;1;lines(13)
2014.06.11 10:57:07;37;2;lines(15)
2014.06.11 10:57:08;38;1;lines(14)
2014.06.11 10:57:09;39;2;lines(16)
2014.06.11 10:57:10;40;1;lines(14)
2014.06.11 10:57:10;40;1;drop(1)
2014.06.11 10:57:11;41;2;lines(15)
2014.06.11 10:57:13;43;1;lines(13)
2014.06.11 10:57:14;44;2;lines(16)
2014.06.11 10:57:14;44;2;drop(1)
2014.06.11 10:57:15;45;1;lines(13)
2014.06.11 10:57:16;46;2;lines(15)
2014.06.11 10:57:17;47;1;lines(13)
2014.06.11 10:57:17;47;1;drop(1)
2014.06.11 10:57:17;47;2;lines(16)
2014.06.11 10:57:17;47;2;drop(1)
2014.06.11 10:57:20;50;2;lines(16)
2014.06.11 10:57:20;50;1;lines(15)
2014.06.11 10:57:20;50;1;drop(1)
2014.06.11 10:57:21;51;2;lines(15)
2014.06.11 10:57:22;52;1;lines(14)
2014.06.11 10:57:23;53;1;lines(14)
2014.06.11 10:57:24;54;2;lines(16)
2014.06.11 10:57:24;54;2;drop(1)
2014.06.11 10:57:25;55;1;lines(14)
2014.06.11 10:57:25;55;1;drop(1)
2014.06.11 10:57:27;57;2;lines(15)
2014.06.11 10:57:27;57;2;drop(1)
2014.06.11 10:57:27;57;1;lines(12)
2014.06.11 10:57:28;58;2;lines(16)
2014.06.11 10:57:29;59;1;lines(14)
2014.06.11 10:57:30;60;2;lines(14)
2014.06.11 10:57:31;61;1;lines(13)
2014.06.11 10:57:31;61;1;drop(1)
2014.06.11 10:57:32;62;2;lines(17)
2014.06.11 10:57:32;62;2;drop(1)
2014.06.11 10:57:32;62;2;level(3)
2014.06.11 10:57:33;63;1;lines(14)
2014.06.11 10:57:34;64;2;lines(14)
2014.06.11 10:57:35;65;1;lines(13)
2014.06.11 10:57:36;66;2;lines(14)
2014.06.11 10:57:37;67;1;lines(12)
2014.06.11 10:57:38;68;2;lines(16)
2014.06.11 10:57:39;69;1;lines(16)
2014.06.11 10:57:40;70;2;lines(16)
2014.06.11 10:57:42;72;1;lines(13)
2014.06.11 10:57:42;72;1;drop(1)
2014.06.11 10:57:43;73;2;lines(14)
2014.06.11 10:57:44;74;1;lines(12)
2014.06.11 10:57:45;75;2;lines(15)
2014.06.11 10:57:46;76;2;lines(12)
2014.06.11 10:57:47;77;1;lines(14)
2014.06.11 10:57:48;78;2;lines(14)
2014.06.11 10:57:49;79;1;lines(14)
2014.06.11 10:57:49;79;1;drop(1)
2014.06.11 10:57:50;80;2;lines(13)
2014.06.11 10:57:51;81;1;lines(12)
2014.06.11 10:57:51;81;2;lines(11)
2014.06.11 10:57:53;83;1;lines(13)
2014.06.11 10:57:53;83;1;drop(1)
2014.06.11 10:57:53;83;1;level(3)
2014.06.11 10:57:53;83;2;lines(11)
2014.06.11 10:57:55;85;2;lines(11)
2014.06.11 10:57:55;85;1;lines(10)
