2014.06.12 14:08:37;0;START
2014.06.12 14:08:39;2;2;lines(17) 
2014.06.12 14:08:41;4;1;lines(17) 
2014.06.12 14:08:41;4;2;lines(17) 
2014.06.12 14:08:43;6;2;lines(18) 
2014.06.12 14:08:44;7;1;lines(17) 
2014.06.12 14:08:46;9;2;lines(17) 
2014.06.12 14:08:48;11;1;lines(18) 
2014.06.12 14:08:49;12;2;lines(16) 
2014.06.12 14:08:51;14;2;lines(16) 
2014.06.12 14:08:51;14;2;drop(1) 
2014.06.12 14:08:51;14;1;lines(17) 
2014.06.12 14:08:54;17;2;lines(16) 
2014.06.12 14:08:54;17;2;drop(1) 
2014.06.12 14:08:54;17;1;lines(15) 
2014.06.12 14:08:56;19;2;lines(17) 
2014.06.12 14:08:57;20;1;lines(16) 
2014.06.12 14:09:00;23;2;lines(16) 
2014.06.12 14:09:00;23;1;lines(15) 
2014.06.12 14:09:02;25;2;lines(13) 
2014.06.12 14:09:04;27;1;lines(15) 
2014.06.12 14:09:05;28;2;lines(15) 
2014.06.12 14:09:06;29;2;lines(16) 
2014.06.12 14:09:07;30;1;lines(15) 
2014.06.12 14:09:07;30;1;drop(1) 
2014.06.12 14:09:09;32;1;lines(12) 
2014.06.12 14:09:09;32;2;lines(15) 
2014.06.12 14:09:12;35;1;lines(13) 
2014.06.12 14:09:12;35;2;lines(14) 
2014.06.12 14:09:15;38;1;lines(14) 
2014.06.12 14:09:15;38;2;lines(14) 
2014.06.12 14:09:17;40;1;lines(9) 
2014.06.12 14:09:18;41;2;lines(13) 
2014.06.12 14:09:20;43;1;lines(13) 
2014.06.12 14:09:20;43;2;lines(11) 
2014.06.12 14:09:22;45;1;lines(11) 
2014.06.12 14:09:22;45;2;lines(12) 
2014.06.12 14:09:24;47;1;lines(7) 
2014.06.12 14:09:25;48;2;lines(11) 
2014.06.12 14:09:26;49;1;lines(11) 
2014.06.12 14:09:26;49;2;lines(11) 
2014.06.12 14:09:28;51;1;lines(9) 
2014.06.12 14:09:28;51;2;lines(10) 
2014.06.12 14:09:30;53;1;lines(5) 
2014.06.12 14:09:30;53;2;lines(10) 
2014.06.12 14:09:32;55;1;lines(9) 
2014.06.12 14:09:32;55;2;lines(8) 
2014.06.12 14:09:34;57;1;lines(9) 
2014.06.12 14:09:34;57;2;lines(8) 
2014.06.12 14:09:35;58;2;lines(9) 
2014.06.12 14:09:35;58;1;lines(7) 
2014.06.12 14:09:36;59;2;lines(9) 
2014.06.12 14:09:37;60;1;lines(5) 
2014.06.12 14:09:37;60;2;lines(7) 
2014.06.12 14:09:38;61;1;lines(6) 
2014.06.12 14:09:39;62;2;lines(8) 
2014.06.12 14:09:39;62;1;lines(3) 
2014.06.12 14:09:41;64;1;lines(4) 
2014.06.12 14:09:41;64;2;lines(7) 
2014.06.12 14:09:41;64;1;lines(2) 
2014.06.12 14:09:42;65;1;lines(0) 
2014.06.12 14:09:43;66;2;lines(6) 
2014.06.12 14:09:43;66;2;drop(1) 
2014.06.12 14:09:43;66;1;lines(3) 
2014.06.12 14:09:44;67;1;lines(1) 
2014.06.12 14:09:44;67;2;lines(6) 
2014.06.12 14:09:44;67;1;lines(0) 
2014.06.12 14:09:45;68;1;lines(-1) 
2014.06.12 14:09:45;68;1;lines(-3) 
########
2014-06-12 14:08:37
2014-06-12 14:09:45
68
