2014.06.16 11:37:12;0;START
2014.06.16 11:37:14;2;2;lines(18)
2014.06.16 11:37:15;3;1;lines(18)
2014.06.16 11:37:15;3;2;lines(17)
2014.06.16 11:37:16;4;1;lines(17)
2014.06.16 11:37:17;5;2;lines(17)
2014.06.16 11:37:20;8;1;lines(18)
2014.06.16 11:37:21;9;2;lines(16)
2014.06.16 11:37:22;10;2;lines(17)
2014.06.16 11:37:22;10;2;drop(1)
2014.06.16 11:37:23;11;1;lines(17)
2014.06.16 11:37:23;11;1;drop(1)
2014.06.16 11:37:24;12;2;lines(16)
2014.06.16 11:37:26;14;2;lines(15)
2014.06.16 11:37:26;14;1;lines(17)
2014.06.16 11:37:28;16;2;lines(17)
2014.06.16 11:37:28;16;1;lines(16)
2014.06.16 11:37:29;17;2;lines(15)
2014.06.16 11:37:32;20;1;lines(16)
2014.06.16 11:37:32;20;1;drop(1)
2014.06.16 11:37:32;20;2;lines(15)
2014.06.16 11:37:35;23;2;lines(16)
2014.06.16 11:37:35;23;2;drop(1)
2014.06.16 11:37:35;23;1;lines(17)
2014.06.16 11:37:36;24;2;lines(15)
2014.06.16 11:37:36;24;2;drop(1)
2014.06.16 11:37:37;25;1;lines(16)
2014.06.16 11:37:39;27;2;lines(16)
2014.06.16 11:37:41;29;1;lines(17)
2014.06.16 11:37:41;29;2;lines(14)
2014.06.16 11:37:43;31;2;lines(17)
2014.06.16 11:37:43;31;2;drop(1)
2014.06.16 11:37:44;32;1;lines(16)
2014.06.16 11:37:45;33;2;lines(16)
2014.06.16 11:37:46;34;1;lines(16)
2014.06.16 11:37:47;35;2;lines(16)
2014.06.16 11:37:49;37;1;lines(15)
2014.06.16 11:37:49;37;2;lines(15)
2014.06.16 11:37:49;37;2;drop(1)
2014.06.16 11:37:51;39;1;lines(12)
2014.06.16 11:37:52;40;2;lines(15)
2014.06.16 11:37:54;42;1;lines(14)
2014.06.16 11:37:54;42;2;lines(16)
2014.06.16 11:37:57;45;1;lines(13)
2014.06.16 11:37:57;45;2;lines(13)
2014.06.16 11:38:00;48;2;lines(13)
2014.06.16 11:38:00;48;1;lines(14)
2014.06.16 11:38:01;49;2;lines(16)
2014.06.16 11:38:01;49;2;drop(2)
2014.06.16 11:38:01;49;2;send(2)
2014.06.16 11:38:02;50;1;lines(8)
2014.06.16 11:38:03;51;2;lines(16)
2014.06.16 11:38:04;52;1;lines(10)
2014.06.16 11:38:05;53;2;lines(17)
2014.06.16 11:38:05;53;2;drop(1)
2014.06.16 11:38:06;54;1;lines(9)
2014.06.16 11:38:08;56;2;lines(17)
2014.06.16 11:38:08;56;2;drop(1)
2014.06.16 11:38:08;56;1;lines(9)
2014.06.16 11:38:10;58;1;lines(7)
2014.06.16 11:38:11;59;2;lines(16)
2014.06.16 11:38:12;60;1;lines(7)
2014.06.16 11:38:12;60;2;lines(16)
2014.06.16 11:38:12;60;2;drop(1)
2014.06.16 11:38:12;60;2;level(3)
2014.06.16 11:38:13;61;1;lines(7)
2014.06.16 11:38:14;62;2;lines(15)
2014.06.16 11:38:14;62;1;lines(7)
2014.06.16 11:38:15;63;2;lines(16)
2014.06.16 11:38:16;64;1;lines(8)
2014.06.16 11:38:16;64;1;drop(1)
2014.06.16 11:38:17;65;2;lines(15)
2014.06.16 11:38:18;66;1;lines(7)
2014.06.16 11:38:19;67;2;lines(15)
2014.06.16 11:38:19;67;1;lines(4)
2014.06.16 11:38:21;69;2;lines(16)
2014.06.16 11:38:21;69;2;drop(1)
2014.06.16 11:38:21;69;1;lines(6)
2014.06.16 11:38:22;70;2;lines(14)
2014.06.16 11:38:22;70;1;lines(6)
2014.06.16 11:38:24;72;1;lines(4)
2014.06.16 11:38:24;72;2;lines(15)
2014.06.16 11:38:25;73;1;lines(3)
2014.06.16 11:38:25;73;1;lines(2)
2014.06.16 11:38:26;74;2;lines(16)
2014.06.16 11:38:27;75;1;lines(4)
2014.06.16 11:38:27;75;2;lines(14)
2014.06.16 11:38:28;76;1;lines(3)
2014.06.16 11:38:28;76;1;lines(1)
2014.06.16 11:38:29;77;2;lines(13)
2014.06.16 11:38:29;77;1;lines(0)
2014.06.16 11:38:29;77;1;lines(-2)
########
2014-06-16 11:37:12
2014-06-16 11:38:29
77
