Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
58.0,41.743,37.925,3.1460000000000004,4.388999999999999,1.12,33.77,13.729000000000001,5.732,31.318,7.442,1,0,0,1,0,0
58.00390625,42.88,37.916,3.198,4.493,1.12,33.77,13.735,5.733,31.316999999999997,7.442,1,0,0,1,0,0
58.0078125,43.953,37.899,3.1460000000000004,4.596,1.12,33.77,13.742,5.735,31.316999999999997,7.442,1,0,0,1,0,0
58.01171875,44.943000000000005,37.874,3.198,4.648,1.12,33.77,13.748,5.736000000000001,31.316999999999997,7.441,1,0,0,1,0,0
58.015625,45.838,37.843,3.25,4.752,1.12,33.77,13.755,5.7379999999999995,31.316999999999997,7.441,1,0,0,1,0,0
58.01953125,46.628,37.806,3.198,4.648,1.12,33.77,13.761,5.739,31.316999999999997,7.441,1,0,0,1,0,0
58.0234375,47.305,37.765,3.301,4.7,1.12,33.77,13.767999999999999,5.7410000000000005,31.316999999999997,7.441,1,0,0,1,0,0
58.02734375,47.867,37.719,3.56,4.7,1.12,33.77,13.774000000000001,5.742000000000001,31.316999999999997,7.441,1,0,0,1,0,0
58.03125,48.317,37.67,3.8710000000000004,4.7,1.12,33.77,13.78,5.744,31.316,7.441,1,0,0,1,0,0
58.03515625,48.657,37.617,4.026,4.803,1.12,33.77,13.786,5.746,31.316,7.441,1,0,0,1,0,0
58.0390625,48.896,37.562,4.234,4.803,1.12,33.77,13.793,5.747999999999999,31.316,7.441,1,0,0,1,0,0
58.04296875,49.041000000000004,37.505,4.596,4.7,1.12,33.77,13.799000000000001,5.75,31.316,7.441,1,0,0,1,0,0
58.046875,49.104,37.444,4.907,4.752,1.121,33.77,13.806,5.752000000000001,31.316,7.441,1,0,0,1,0,0
58.05078125,49.096000000000004,37.381,4.959,4.752,1.121,33.77,13.812999999999999,5.754,31.316,7.441,1,0,0,1,0,0
58.0546875,49.027,37.316,5.062,4.7,1.121,33.77,13.82,5.756,31.315,7.441,1,0,0,1,0,0
58.05859375,48.91,37.247,5.01,4.648,1.121,33.77,13.827,5.757000000000001,31.315,7.441,1,0,0,1,0,0
58.0625,48.754,37.176,4.907,4.855,1.121,33.77,13.834000000000001,5.7589999999999995,31.315,7.441,1,0,0,1,0,0
58.06640625,48.568999999999996,37.103,4.803,5.062,1.121,33.77,13.841,5.761,31.315,7.441,1,0,0,1,0,0
58.0703125,48.364,37.027,4.7,5.269,1.121,33.77,13.847999999999999,5.763,31.315,7.441,1,0,0,1,0,0
58.07421875,48.147,36.948,4.648,5.477,1.121,33.77,13.855,5.765,31.315,7.441,1,0,0,1,0,0
58.078125,47.922,36.867,4.648,5.736000000000001,1.121,33.77,13.863,5.766,31.315,7.441,1,0,0,1,0,0
58.08203125,47.696000000000005,36.783,4.493,6.15,1.121,33.77,13.87,5.768,31.314,7.441,1,0,0,1,0,0
58.0859375,47.471000000000004,36.698,4.337,6.357,1.121,33.77,13.878,5.77,31.314,7.441,1,0,0,1,0,0
58.08984375,47.248999999999995,36.611999999999995,4.234,6.564,1.121,33.77,13.886,5.771,31.314,7.441,1,0,0,1,0,0
58.09375,47.032,36.525,3.975,6.667999999999999,1.121,33.77,13.892999999999999,5.772,31.314,7.441,1,0,0,1,0,0
58.09765625,46.821000000000005,36.438,3.923,6.5120000000000005,1.121,33.77,13.901,5.774,31.314,7.441,1,0,0,1,0,0
58.1015625,46.615,36.351,3.819,6.305,1.122,33.77,13.909,5.775,31.314,7.441,1,0,0,1,0,0
58.10546875,46.413999999999994,36.264,3.716,6.098,1.122,33.77,13.917,5.776,31.313000000000002,7.441,1,0,0,1,0,0
58.109375,46.217,36.18,3.612,6.202000000000001,1.122,33.77,13.925,5.777,31.313000000000002,7.441,1,0,0,1,0,0
