Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
2.0,38.711999999999996,34.199,3.5439999999999996,4.409,2.0340000000000003,33.088,18.637,10.201,29.553,2.92,1,0,0,1,0,0
2.00390625,38.912,34.198,3.44,4.099,2.033,33.088,18.635,10.199,29.553,2.9189999999999996,1,0,0,1,0,0
2.0078125,39.096,34.196999999999996,3.285,3.84,2.033,33.088,18.634,10.197000000000001,29.553,2.9189999999999996,1,0,0,1,0,0
2.01171875,39.265,34.196,3.233,3.477,2.033,33.088,18.632,10.196,29.553,2.9189999999999996,1,0,0,1,0,0
2.015625,39.417,34.196,3.181,3.373,2.033,33.088,18.631,10.193999999999999,29.553,2.9189999999999996,1,0,0,1,0,0
2.01953125,39.555,34.195,3.0260000000000002,3.1660000000000004,2.032,33.088,18.629,10.193,29.553,2.9189999999999996,1,0,0,1,0,0
2.0234375,39.677,34.194,2.9739999999999998,3.063,2.032,33.088,18.628,10.192,29.553,2.9189999999999996,1,0,0,1,0,0
2.02734375,39.787,34.193000000000005,2.9219999999999997,2.8560000000000003,2.032,33.088,18.625999999999998,10.191,29.552,2.9189999999999996,1,0,0,1,0,0
2.03125,39.884,34.192,2.819,2.752,2.032,33.088,18.624000000000002,10.19,29.552,2.9189999999999996,1,0,0,1,0,0
2.03515625,39.97,34.189,2.819,2.597,2.031,33.088,18.623,10.189,29.552,2.9189999999999996,1,0,0,1,0,0
2.0390625,40.047,34.187,2.715,2.545,2.031,33.088,18.621,10.187999999999999,29.552,2.9189999999999996,1,0,0,1,0,0
2.04296875,40.114000000000004,34.184,2.612,2.4930000000000003,2.031,33.088,18.62,10.187000000000001,29.552,2.9189999999999996,1,0,0,1,0,0
2.046875,40.174,34.181,2.56,2.3890000000000002,2.031,33.088,18.618,10.186,29.552,2.9189999999999996,1,0,0,1,0,0
2.05078125,40.228,34.177,2.56,2.3890000000000002,2.03,33.088,18.617,10.184,29.552,2.9189999999999996,1,0,0,1,0,0
2.0546875,40.277,34.173,2.612,2.286,2.03,33.088,18.616,10.183,29.552,2.9189999999999996,1,0,0,1,0,0
2.05859375,40.321,34.168,2.6630000000000003,2.286,2.03,33.088,18.614,10.181000000000001,29.552,2.9189999999999996,1,0,0,1,0,0
2.0625,40.361,34.162,2.819,2.182,2.03,33.088,18.613,10.18,29.552,2.9189999999999996,1,0,0,1,0,0
2.06640625,40.399,34.156,3.0260000000000002,2.131,2.029,33.088,18.611,10.177999999999999,29.552,2.9189999999999996,1,0,0,1,0,0
2.0703125,40.434,34.15,3.13,2.079,2.029,33.088,18.61,10.177,29.552,2.9189999999999996,1,0,0,1,0,0
2.07421875,40.467,34.144,3.285,2.079,2.029,33.088,18.609,10.175,29.552,2.9189999999999996,1,0,0,1,0,0
2.078125,40.498000000000005,34.138000000000005,3.492,1.975,2.029,33.088,18.607,10.173,29.552,2.9189999999999996,1,0,0,1,0,0
2.08203125,40.525999999999996,34.132,3.699,1.923,2.029,33.088,18.605999999999998,10.171,29.552,2.9189999999999996,1,0,0,1,0,0
2.0859375,40.552,34.126,3.906,1.923,2.028,33.088,18.605,10.169,29.552,2.9189999999999996,1,0,0,1,0,0
2.08984375,40.575,34.121,3.958,1.82,2.028,33.088,18.604,10.168,29.552,2.9189999999999996,1,0,0,1,0,0
2.09375,40.596,34.116,3.958,1.82,2.028,33.088,18.602999999999998,10.166,29.552,2.9189999999999996,1,0,0,1,0,0
2.09765625,40.613,34.111999999999995,3.906,1.768,2.028,33.088,18.602,10.164,29.552,2.9189999999999996,1,0,0,1,0,0
2.1015625,40.626999999999995,34.11,3.699,1.716,2.0269999999999997,33.088,18.601,10.162,29.552,2.9189999999999996,1,0,0,1,0,0
2.10546875,40.638000000000005,34.107,3.596,1.716,2.0269999999999997,33.086999999999996,18.6,10.16,29.552,2.9189999999999996,1,0,0,1,0,0
2.109375,40.645,34.106,3.492,1.6640000000000001,2.0269999999999997,33.086999999999996,18.599,10.158999999999999,29.552,2.918,1,0,0,1,0,0
2.11328125,40.648,34.105,3.3369999999999997,1.6130000000000002,2.0269999999999997,33.086999999999996,18.598,10.157,29.552,2.918,1,0,0,1,0,0
2.1171875,40.648,34.105,3.233,1.6130000000000002,2.026,33.086999999999996,18.597,10.156,29.552,2.9189999999999996,1,0,0,1,0,0
2.12109375,40.643,34.106,3.181,1.6130000000000002,2.026,33.086999999999996,18.597,10.154,29.552,2.9189999999999996,1,0,0,1,0,0
2.125,40.633,34.108000000000004,2.9739999999999998,1.6130000000000002,2.026,33.086999999999996,18.596,10.152999999999999,29.552,2.9189999999999996,1,0,0,1,0,0
2.12890625,40.619,34.11,2.8710000000000004,1.561,2.026,33.086999999999996,18.596,10.151,29.552,2.918,1,0,0,1,0,0
2.1328125,40.6,34.113,2.715,1.6130000000000002,2.025,33.086999999999996,18.595,10.15,29.552,2.918,1,0,0,1,0,0
2.13671875,40.575,34.118,2.6630000000000003,1.6130000000000002,2.025,33.086999999999996,18.595,10.148,29.552,2.9189999999999996,1,0,0,1,0,0
2.140625,40.545,34.124,2.508,1.6130000000000002,2.025,33.086999999999996,18.595,10.146,29.552,2.9189999999999996,1,0,0,1,0,0
2.14453125,40.51,34.131,2.353,1.561,2.025,33.086999999999996,18.595,10.145,29.552,2.9189999999999996,1,0,0,1,0,0
2.1484375,40.468,34.141,2.249,1.5090000000000001,2.024,33.086999999999996,18.595,10.142999999999999,29.552,2.918,1,0,0,1,0,0
2.15234375,40.421,34.153,2.301,1.5090000000000001,2.024,33.086999999999996,18.595,10.141,29.552,2.918,1,0,0,1,0,0
2.15625,40.367,34.169000000000004,2.197,1.405,2.024,33.086999999999996,18.595,10.14,29.552,2.9189999999999996,1,0,0,1,0,0
2.16015625,40.306999999999995,34.19,2.146,1.405,2.024,33.086999999999996,18.594,10.138,29.552,2.9189999999999996,1,0,0,1,0,0
2.1640625,40.242,34.215,2.146,1.405,2.023,33.086999999999996,18.594,10.136000000000001,29.552,2.9189999999999996,1,0,0,1,0,0
2.16796875,40.171,34.245,2.042,1.405,2.023,33.086999999999996,18.595,10.135,29.552,2.918,1,0,0,1,0,0
2.171875,40.095,34.282,2.094,1.354,2.023,33.086999999999996,18.595,10.133,29.552,2.918,1,0,0,1,0,0
2.17578125,40.014,34.325,2.146,1.354,2.023,33.086999999999996,18.595,10.131,29.552,2.9189999999999996,1,0,0,1,0,0
2.1796875,39.931,34.374,2.249,1.354,2.023,33.086999999999996,18.595,10.129,29.552,2.9189999999999996,1,0,0,1,0,0
2.18359375,39.844,34.43,2.404,1.354,2.022,33.086999999999996,18.595,10.127,29.552,2.9189999999999996,1,0,0,1,0,0
2.1875,39.756,34.491,2.767,1.354,2.022,33.086999999999996,18.595,10.125,29.552,2.9189999999999996,1,0,0,1,0,0
2.19140625,39.667,34.559,3.13,1.4569999999999999,2.022,33.086999999999996,18.596,10.123,29.552,2.918,1,0,0,1,0,0
2.1953125,39.577,34.632,3.3369999999999997,1.4569999999999999,2.022,33.086999999999996,18.596,10.121,29.552,2.9189999999999996,1,0,0,1,0,0
2.19921875,39.486999999999995,34.709,3.44,1.4569999999999999,2.021,33.086999999999996,18.596,10.119,29.552,2.9189999999999996,1,0,0,1,0,0
2.203125,39.398,34.789,3.699,1.561,2.021,33.086999999999996,18.596,10.118,29.552,2.9189999999999996,1,0,0,1,0,0
2.20703125,39.31,34.871,4.165,1.561,2.021,33.086999999999996,18.597,10.116,29.552,2.9189999999999996,1,0,0,1,0,0
2.2109375,39.225,34.953,4.58,1.561,2.021,33.086999999999996,18.597,10.113999999999999,29.552,2.918,1,0,0,1,0,0
2.21484375,39.141999999999996,35.035,4.787,1.5090000000000001,2.02,33.086999999999996,18.598,10.113,29.552,2.918,1,0,0,1,0,0
2.21875,39.063,35.113,5.046,1.5090000000000001,2.02,33.086999999999996,18.598,10.111,29.552,2.9189999999999996,1,0,0,1,0,0
2.22265625,38.989000000000004,35.187,4.994,1.561,2.02,33.086999999999996,18.598,10.109,29.552,2.9189999999999996,1,0,0,1,0,0
2.2265625,38.919000000000004,35.256,4.89,1.5090000000000001,2.02,33.086999999999996,18.599,10.107000000000001,29.552,2.9189999999999996,1,0,0,1,0,0
2.23046875,38.853,35.318000000000005,4.787,1.4569999999999999,2.019,33.086999999999996,18.599,10.106,29.552,2.918,1,0,0,1,0,0
2.234375,38.793,35.373000000000005,4.8389999999999995,1.561,2.019,33.086999999999996,18.6,10.104,29.552,2.918,1,0,0,1,0,0
2.23828125,38.739000000000004,35.42,4.735,1.561,2.019,33.086999999999996,18.6,10.103,29.552,2.9189999999999996,1,0,0,1,0,0
