Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
169.0,38.616,34.323,10.38,1.6130000000000002,2.164,28.439,11.587,10.332,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.00390625,38.597,34.336999999999996,11.985999999999999,1.6130000000000002,2.164,28.439,11.59,10.334000000000001,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.0078125,38.575,34.356,13.229000000000001,1.6640000000000001,2.164,28.439,11.593,10.337,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.01171875,38.551,34.381,22.136,1.6640000000000001,2.164,28.439,11.595999999999998,10.34,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.015625,38.525999999999996,34.414,29.335,1.6640000000000001,2.1630000000000003,28.439,11.599,10.343,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.01953125,38.499,34.455,30.112,1.6130000000000002,2.164,28.439,11.602,10.345999999999998,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.0234375,38.47,34.507,28.506999999999998,1.6130000000000002,2.164,28.439,11.605,10.349,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.02734375,38.439,34.569,25.71,1.6640000000000001,2.164,28.439,11.607999999999999,10.352,30.173000000000002,2.548,1,0,0,1,0,0
169.03125,38.407,34.641,23.430999999999997,1.6640000000000001,2.164,28.439,11.610999999999999,10.356,30.173000000000002,2.548,1,0,0,1,0,0
169.03515625,38.374,34.723,21.619,1.6640000000000001,2.164,28.439,11.614,10.359000000000002,30.173000000000002,2.5469999999999997,1,0,0,1,0,0
169.0390625,38.339,34.814,20.012999999999998,1.716,2.164,28.439,11.617,10.362,30.173000000000002,2.548,1,0,0,1,0,0
169.04296875,38.303000000000004,34.912,24.415,1.716,2.164,28.439,11.62,10.365,30.173000000000002,2.548,1,0,0,1,0,0
169.046875,38.266999999999996,35.016,32.443000000000005,1.716,2.164,28.439,11.622,10.369000000000002,30.173000000000002,2.548,1,0,0,1,0,0
169.05078125,38.231,35.124,39.59,1.6640000000000001,2.164,28.439,11.625,10.372,30.173000000000002,2.548,1,0,0,1,0,0
169.0546875,38.195,35.232,40.833,1.6130000000000002,2.164,28.439,11.628,10.376,30.173000000000002,2.548,1,0,0,1,0,0
169.05859375,38.16,35.34,36.016,1.6640000000000001,2.164,28.439,11.630999999999998,10.38,30.173000000000002,2.548,1,0,0,1,0,0
169.0625,38.125,35.444,30.06,1.716,2.164,28.439,11.633,10.383,30.173000000000002,2.548,1,0,0,1,0,0
169.06640625,38.091,35.542,27.366999999999997,1.6640000000000001,2.164,28.439,11.636,10.387,30.173000000000002,2.548,1,0,0,1,0,0
169.0703125,38.058,35.634,30.112,1.716,2.164,28.439,11.639000000000001,10.390999999999998,30.173000000000002,2.549,1,0,0,1,0,0
169.07421875,38.025999999999996,35.717,32.184,1.6640000000000001,2.164,28.439,11.640999999999998,10.395,30.173000000000002,2.548,1,0,0,1,0,0
169.078125,37.995,35.79,30.526,1.6130000000000002,2.164,28.439,11.642999999999999,10.399000000000001,30.173000000000002,2.549,1,0,0,1,0,0
169.08203125,37.964,35.852,27.212,1.561,2.164,28.439,11.645,10.402999999999999,30.173000000000002,2.549,1,0,0,1,0,0
169.0859375,37.935,35.904,25.916999999999998,1.561,2.164,28.439,11.647,10.407,30.173000000000002,2.549,1,0,0,1,0,0
169.08984375,37.906,35.943000000000005,29.335,1.561,2.164,28.439,11.65,10.411,30.173000000000002,2.549,1,0,0,1,0,0
169.09375,37.876999999999995,35.972,29.698,1.561,2.164,28.439,11.652000000000001,10.415,30.173000000000002,2.549,1,0,0,1,0,0
169.09765625,37.85,35.989000000000004,27.057,1.5090000000000001,2.164,28.439,11.652999999999999,10.419,30.173000000000002,2.549,1,0,0,1,0,0
169.1015625,37.823,35.997,24.311999999999998,1.5090000000000001,2.164,28.439,11.655,10.424000000000001,30.173000000000002,2.549,1,0,0,1,0,0
169.10546875,37.797,35.995,21.67,1.4569999999999999,2.164,28.439,11.657,10.427999999999999,30.173000000000002,2.549,1,0,0,1,0,0
169.109375,37.771,35.985,19.909000000000002,1.4569999999999999,2.164,28.439,11.659,10.432,30.173000000000002,2.549,1,0,0,1,0,0
169.11328125,37.746,35.968,19.651,1.4569999999999999,2.164,28.439,11.661,10.436,30.173000000000002,2.549,1,0,0,1,0,0
169.1171875,37.722,35.946,18.615,1.4569999999999999,2.164,28.439,11.663,10.44,30.173000000000002,2.549,1,0,0,1,0,0
169.12109375,37.698,35.92,17.113,1.5090000000000001,2.164,28.439,11.665,10.444,30.173000000000002,2.549,1,0,0,1,0,0
169.125,37.675,35.89,15.610999999999999,1.4569999999999999,2.164,28.439,11.667,10.449000000000002,30.173000000000002,2.549,1,0,0,1,0,0
169.12890625,37.653,35.858000000000004,14.161,1.4569999999999999,2.164,28.439,11.669,10.453,30.173000000000002,2.55,1,0,0,1,0,0
169.1328125,37.631,35.825,13.125,1.5090000000000001,2.164,28.439,11.671,10.457,30.173000000000002,2.55,1,0,0,1,0,0
169.13671875,37.611,35.79,12.918,1.4569999999999999,2.164,28.439,11.672,10.460999999999999,30.173000000000002,2.55,1,0,0,1,0,0
169.140625,37.592,35.756,17.475,1.561,2.164,28.439,11.674000000000001,10.465,30.173000000000002,2.55,1,0,0,1,0,0
169.14453125,37.573,35.721,25.761999999999997,1.561,2.164,28.439,11.675999999999998,10.469000000000001,30.173000000000002,2.55,1,0,0,1,0,0
