Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
105.0,38.73,32.725,72.081,37.959,1.837,31.33,23.985,14.005,30.068,4.59,1,0,0,1,0,0
105.00390625,38.683,32.705999999999996,68.56,45.986999999999995,1.837,31.33,23.985,14.005999999999998,30.068,4.59,1,0,0,1,0,0
105.0078125,38.635,32.687,61.516000000000005,43.967,1.837,31.33,23.984,14.007,30.068,4.59,1,0,0,1,0,0
105.01171875,38.585,32.668,57.011,39.875,1.837,31.33,23.984,14.007,30.068,4.59,1,0,0,1,0,0
105.015625,38.534,32.648,59.236999999999995,35.836,1.837,31.33,23.984,14.008,30.068,4.59,1,0,0,1,0,0
105.01953125,38.482,32.626999999999995,55.301,36.561,1.837,31.33,23.983,14.009,30.068,4.59,1,0,0,1,0,0
105.0234375,38.429,32.606,47.428999999999995,36.457,1.837,31.33,23.983,14.009,30.066999999999997,4.59,1,0,0,1,0,0
105.02734375,38.375,32.584,44.115,34.748000000000005,1.837,31.33,23.983,14.01,30.068,4.5889999999999995,1,0,0,1,0,0
105.03125,38.32,32.562,47.378,31.226999999999997,1.837,31.33,23.982,14.011,30.068,4.59,1,0,0,1,0,0
105.03515625,38.265,32.541,48.568999999999996,27.964000000000002,1.837,31.33,23.982,14.012,30.066999999999997,4.59,1,0,0,1,0,0
105.0390625,38.209,32.519,44.218,29.88,1.837,31.33,23.982,14.013,30.066999999999997,4.59,1,0,0,1,0,0
105.04296875,38.153,32.5,39.143,41.067,1.837,31.329,23.982,14.014000000000001,30.066999999999997,4.5889999999999995,1,0,0,1,0,0
105.046875,38.095,32.482,37.589,47.022,1.837,31.329,23.982,14.015999999999998,30.066999999999997,4.5889999999999995,1,0,0,1,0,0
105.05078125,38.037,32.467,38.366,51.062,1.837,31.329,23.982,14.017000000000001,30.066999999999997,4.5889999999999995,1,0,0,1,0,0
105.0546875,37.978,32.455999999999996,37.641,48.11,1.837,31.329,23.982,14.019,30.066999999999997,4.59,1,0,0,1,0,0
105.05859375,37.917,32.451,37.796,41.74,1.837,31.329,23.982,14.020999999999999,30.066999999999997,4.59,1,0,0,1,0,0
105.0625,37.856,32.451,36.501999999999995,41.946999999999996,1.837,31.329,23.982,14.023,30.066999999999997,4.59,1,0,0,1,0,0
105.06640625,37.793,32.461,33.912,49.146,1.837,31.329,23.983,14.025,30.066999999999997,4.5889999999999995,1,0,0,1,0,0
105.0703125,37.73,32.48,31.426,51.217,1.837,31.329,23.983,14.027000000000001,30.066999999999997,4.59,1,0,0,1,0,0
