Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
2.0,37.715,33.31,3.514,24.846,1.111,25.804000000000002,23.412,5.317,25.58,1.933,1,0,0,1,0,0
2.00390625,37.701,33.269,3.307,22.619,1.111,25.804000000000002,23.41,5.316,25.58,1.933,1,0,0,1,0,0
2.0078125,37.687,33.231,3.1519999999999997,22.566999999999997,1.111,25.804000000000002,23.408,5.315,25.58,1.933,1,0,0,1,0,0
2.01171875,37.672,33.195,3.048,23.914,1.111,25.804000000000002,23.405,5.314,25.58,1.933,1,0,0,1,0,0
2.015625,37.657,33.162,2.997,25.000999999999998,1.111,25.804000000000002,23.403000000000002,5.312,25.58,1.9340000000000002,1,0,0,1,0,0
2.01953125,37.641999999999996,33.13,2.8930000000000002,26.089000000000002,1.111,25.804000000000002,23.4,5.311,25.58,1.9340000000000002,1,0,0,1,0,0
2.0234375,37.626,33.101,2.7889999999999997,25.000999999999998,1.111,25.804000000000002,23.398000000000003,5.31,25.58,1.9340000000000002,1,0,0,1,0,0
2.02734375,37.609,33.071999999999996,2.7889999999999997,22.153000000000002,1.11,25.804000000000002,23.395,5.309,25.58,1.9340000000000002,1,0,0,1,0,0
2.03125,37.593,33.044000000000004,2.6860000000000004,19.045,1.11,25.804000000000002,23.392,5.308,25.58,1.9340000000000002,1,0,0,1,0,0
2.03515625,37.578,33.016,2.634,16.249000000000002,1.11,25.804000000000002,23.39,5.307,25.58,1.9340000000000002,1,0,0,1,0,0
2.0390625,37.563,32.988,2.582,14.902000000000001,1.11,25.804000000000002,23.386999999999997,5.306,25.58,1.9340000000000002,1,0,0,1,0,0
2.04296875,37.549,32.959,2.53,14.488,1.11,25.804000000000002,23.385,5.306,25.58,1.9340000000000002,1,0,0,1,0,0
2.046875,37.537,32.929,2.53,14.022,1.11,25.804000000000002,23.381999999999998,5.305,25.58,1.9340000000000002,1,0,0,1,0,0
2.05078125,37.525999999999996,32.899,2.738,13.038,1.11,25.804000000000002,23.38,5.303999999999999,25.58,1.9340000000000002,1,0,0,1,0,0
2.0546875,37.516,32.869,3.67,12.572000000000001,1.11,25.804000000000002,23.378,5.303999999999999,25.58,1.9340000000000002,1,0,0,1,0,0
2.05859375,37.507,32.841,4.861000000000001,12.415999999999999,1.11,25.804000000000002,23.375,5.303,25.58,1.9340000000000002,1,0,0,1,0,0
2.0625,37.498000000000005,32.815,5.845,11.847000000000001,1.11,25.804000000000002,23.373,5.3020000000000005,25.58,1.9340000000000002,1,0,0,1,0,0
2.06640625,37.491,32.796,6.466,11.122,1.11,25.804000000000002,23.371,5.301,25.58,1.935,1,0,0,1,0,0
